case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2020_18-956,j__elena_kagan,69,"Mr. Goldstein, I have to confess to being a little bit surprised or confused about some of the arguments you're making this morning. And maybe it's just me and I don't understand it, but I'm hoping you'll explain it to me, because, when I read your briefs, I took you to be making a somewhat different argument, principally, than the one you're making today. I took you to be saying that the declaring code is unprotected because it's a method of operation, that it's what allows Java programmers to operate the computer, and to be setting forth a pretty flat rule on that -- of -- of that kind. And -- and I don't hear you saying that today. Instead, I hear you saying, you know, the real question is, are there multiple ways of doing the same thing? So are those different arguments? And which one are you making?",Thomas C. Goldstein,"They can copy any part of our code, including certainly our interfaces, our declarations, that can only be written this one -- this way. We have interoperability in the fact that the developers' instructions work with our methods, our classes, and our packages. It very frequently is the case that you have, in modern computer programming, interoperability that means you have a new software program that comes in and supplants an older, less superior one, one that doesn't work nearly as well. That is actually incredibly important and what Congress would want, and that is to be able to take the functionality of a computer program, someone else comes along and does it better. It's no surprise that we don't use all of the packages because they don't have anything to do with a modern smartphone. They don't have a GPS function to them. On the other hand, the smartphone doesn't have a computer mouse. There's no reason in the world to think you would reuse all of them. And it would be impracticable given the constraints of a smartphone.",0,1
2020_18-956,j__elena_kagan,71,And when you say --,Thomas C. Goldstein,"They're both different arguments. We're making both of them. I'm focusing on merger. The argument that you mentioned as our lead argument I don't think honestly is. We do have a straight, pure textualist argument that the declaring code is a method of operation because it is the instructions to the developer on how to operate the shortcut pre-written computer program. Today, I have focused on the argument that if you disagree with that and you believe that Section 102(b) instead embodies only the idea-expression dichotomy, then you apply the merger doctrine and you say: Okay, 102(b) says that you can't copyright all the ways of having the method of operation of Java SE. And my point is that's what they're trying to do here. The district court found --",0,1
2020_18-956,j__elena_kagan,73,"Excuse me. Sorry, Mr. Goldstein. But, if -- if -- if -- if that's your test that you're focusing on today, is that essentially the test that comes out of the Second Circuit Altai case? Is there any difference between what you're saying today and -- and -- and what Altai says, which is essentially that we have to figure out how to separate out the expressive elements of something?",Thomas C. Goldstein,-- that the only --,0,1
2020_18-956,j__elena_kagan,75,"And if I could go back to something that I think the Chief Justice was asking about, I mean, suppose I'm -- I'm -- I'm sitting in a mathematics class and the professor says: Do a proof of -- of -- of something or other. And, you know, it turns out that 20 people in this mathematics class actually come up with more than one proof, and some are better than others, you know, some are elegant and some are less elegant. So there are more than one way of proving whatever proposition there is. How do we deal with that? I would think that that's pretty analogous to the situation here, that there are more than one way and Oracle happened to come up with a particularly elegant one.",Thomas C. Goldstein,"Well, that -- that -- the Second Circuit does have the abstraction filtration test, and an element of that test is that you take out the elements that are not subject to copyright protection. And merger fits in there. And that is one of the reasons that something, an element of a computer program, would not receive copyright protection is the fact that it merges, that it's the only available form of expression. So it fits within the Second Circuit framework. It just -- it just doesn't supplant it.",0,1
2020_18-956,j__elena_kagan,77,"Thank you, Mr. Goldstein.",Thomas C. Goldstein,"It just depends, Your Honor, on what the ""it"" is. A computer program works in a very technical and specific way, and that is someone, here, the developer, will type something into the computer. It will put in -- that person will put in particular information. And the question is, how is it that you are going to write a computer program that recognizes what they're going to say and responds appropriately? And if you say that you can get a copyright over the only computer code that will listen to -- that will understand the proof, right, if there's only one computer program that will look at students' proofs and understand them, if you give someone a copyright on that, you've given them a patent on it because no one else can make a computer do that particular thing. And Section 102(b) is extremely granular. It doesn't ask the big picture question: Could you generally find the larger of two numbers or prove something? It gets way down into the details. You cannot get copyright protection with respect to any method of operation. This is plainly the method of operating Java SE.",0,1
2020_18-956,j__elena_kagan,131,"Mr. Rosenkranz, as -- as I understand it, there are two features of your declaring code that you think merit copyright. And I want to make sure I'm -- I'm -- I'm right on this first. The -- the first feature, and this is pretty basic, is that we need some way of connecting a programmer's inputs, whatever they happen to be, some way of connecting those inputs to implementing code. And then the second feature is that there needs to be a way to organize those inputs, those calls, into various classes and packages. So one is like the trigger and one is the method of organization. Is that right? Is that the thing that you're saying merits copyright?",E. Joshua Rosenkranz,"Well, Your Honor, I -- I beg to differ with the understanding in -- of the lower court cases. Not a single case has ever said that you can copy this vast amount of code into a competing platform to use for the same purpose. The Third Circuit, the First Circuit, the Ninth Circuit, the Tenth Circuit, they all agree with that. No one draw that -- drew that distinction between implementing code and declaring code. You will not find a single case that does this. Google is just wrong that the success of the software industry depends on unlicensed copying. Major corporate entities were paying a lot of money just to license our declaring code. Google and its amici point to non-record examples that involved either no copying at all, licensed copying, or copying of elements that were so uncreative that no one would say they were protectable.",1,1
2020_18-956,j__elena_kagan,133,"Okay. So let's start with that, the taxonomy, the structure, the organization, and we can, if we have time, get back to the other. I'll give you an example that's similar to one that the Chief Justice used, but I think you won't be -- you won't be able to answer in quite the same way. Suppose I own a grocery store and I come up with a really terrific way of organizing all my fresh produce, all my fruits and vegetables, into these categories and sub-categories, very intuitive for the shopper. And this is not the standard way. So it's different from the Chief Justice's hypothetical in that way. It's novel. And it's great. And a rival grocery store, all rival grocery stores want to copy it. Do I have a copyright claim?",E. Joshua Rosenkranz,"No, Your Honor. There are two things that we say merit copyright protection. The first is the manner in which we describe each function, each -- each method. That is itself creative. And it's -- each line of declaring code actually teaches the user what that method does, how it's used, how it relates to others, and what the result will be. The second piece is the overall structure, sequence, and organization. Those are the two things that --",1,1
2020_18-956,j__elena_kagan,135,"So why is it worlds different? I mean, it seems to me that there are all kinds of methods of organization in the world. You know, whether it's the QWERTY keyboard or whether it's the periodic table or whether the system of kingdoms and classes and phyla and so forth that animals are organized into. I mean, there are a thousand ways of organizing things, which the first person who developed them, you're saying, could have a copyright and then prevent anybody else from using them.",E. Joshua Rosenkranz,"Your Honor, you don't have a copyright claim in anything that isn't set down in writing. So your hypothesizing that you've put down, let's say, in outline form the way of organizing. I'd say maybe. I mean, there -- there would be a lot of fair use questions about that, but this is worlds different from what --",1,1
2020_18-956,j__elena_kagan,137,"Thank you, Mr. Rosenkranz.",E. Joshua Rosenkranz,"Well, so, Your Honor, two answers. First, let's not forget that the declaring code itself would be -- is -- is enough volume to take up 600 pages in the Joint Appendix. So the declaring code itself gets protection. But the answer is the relationships of the methods, classes, and packages, it's not -- it's not just the most intricate hierarchy you've ever seen. If you look at one package on page 9, you will see it, and multiple pages of the supplemental appendix. But the relationships cross from one package to the next, from one class to the next. It is extraordinarily intricate in a way that does deserve copyright protection, the same way the plot of a novel --",1,1
2020_18-956,j__elena_kagan,174,"Mr. Stewart, suppose that I come up with a new and very useful keyboard, you know, not QWERTY, but something better than QWERTY. And it's so useful that everybody starts using it. Now let's assume, for the purposes of my question, that this is copyrightable, which it might be or it might not be. But let's assume it is and -- and go to the fair use question. When -- when a -- a -- a -- a cell phone, a smartphone manufacturer takes that layout, takes that keyboard, and uses it for its next phone, is that fair use and why or why not?",Malcolm L. Stewart,"It's not the only way they could do it that would make it function in the new environment. It's the -- they're very careful about this. It's the only way that would do it that would allow the developers, the app developers, to use the preexisting calls in order to call up the established methods. The second thing I would say about transformativeness is that whole argument about allowing app developers to use their knowledge, the only way it works is that app developers can have confidence that when they use a call with which they are familiar, it will trigger the same functionality that it has triggered on the Java platform. And so it's not transformative in that sense. The code is performing exactly the same function that it performed on Java. The third thing I would say is, if you imagine a motion picture that has only been released in theaters and somebody gets the print and offers to live stream it over the Internet. It's the same content that has been -- being -- simply being used on a different platform. No one would think of that as transformative. Similarly --",1,1
