case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2022_21-454,j__ketanji_brown_jackson,29,"But, Mr. Schiff, isn't the issue what Congress would have intended with respect to adjacency and there was a regulation that defined ""adjacency"" to include neighboring? And as far as I know, Congress used the term ""adjacency"" and didn't adjust it to try to make clear the touching requirement that you say was intended by the term.",Damien M. Schiff,"Again, Justice Kagan, I would say that when we're speaking specifically about physical topographic features, natural features like wetlands and other water bodies, I think that physically touching requirement is essential and is the -- the meaning of adjacency as used in 404(g). That is, in fact, actually --",0.0,0
2022_21-454,j__ketanji_brown_jackson,31,"All right. Well, let me -- let me -- let me try to bring some enlightenment to it by asking it this way. You say the question is which wetlands are covered, which I agree with, but I guess my question is, why would Congress draw the coverage line between abutting wetlands and neighboring wetlands when the objective of the statute is to ensure the chemical, physical, and biological integrity of -- of the nation's waters? So are you saying that neighboring wetlands can't impact the quality of navigable waters?",Damien M. Schiff,"Yes, Justice Jackson. Every single time that argument has been advanced by the government, it has been rejected by this Court. In Rapanos, the plurality opinion rejected out of hand the idea that 404(g) represents a ratification of the Corps's broad understanding of adjacency. Justice Kennedy's opinion doesn't even -- even give it consideration. SWANCC, for its part, said 404(g) is unenlightening as to the meaning of ""waters of the United States.""",0.0,0
2022_21-454,j__ketanji_brown_jackson,33,"I didn't read that as a purpose, I mean, that Congress said our objective is to address or make sure that we maintain the integrity of the waters. It was one of the policies in achieving that objective that we care about states' rights, but -- or federalism concerns, but I didn't see that as Congress's primary objective or even, you know, a main objective with respect to the Clean Water Act.",Damien M. Schiff,"Justice Jackson, not at all. However, it's also important to -- to acknowledge that Congress was balancing concerns here. On the one hand, there is a water quality issue. But, on the other hand, there's a very important federalism issue, so important that actually Congress put in the text of the Act that one of the purposes of the Act is to preserve traditional state authority over land and water resources.",0.0,0
2022_21-454,j__ketanji_brown_jackson,67,"But -- but counsel, why -- why is it that your conception of this does not relate in any way to Congress's primary objective? Do you dispute that the primary objective as stated in the statute, I guess it's at 1251, is that Congress cared about making sure that the chemical, physical, and biological integrity of the nation's waters was protected?",Damien M. Schiff,"Justice Sotomayor, I would respectfully disagree. I-- I think this would be a totally different case if Congress, in fact, had defined ""navigable waters"" as the waters of the United States plus adjacent wetlands, which is precisely what the Corps regulation was trying to do in the '70s. But Congress hasn't done that. In fact, it studiously avoided touching that central definitional provision for the last 50 years. With respect, though, Justice Sotomayor, to your point about how -- why do wetlands have to be navigable, they don't have to be navigable. Certainly, in the normal delimitation of any water, you're always going to have a point at which navigability, in fact, towards the banks of a river, for example, is going to disappear. But that doesn't change the fact that one can plausibly define a river, say, up to its ordinary high water mark and understand that water-ward of that mark one might not have navigability at all points. And I think the same thing is true when it comes to defining the outer scope of waters with respect to abutting wetlands, that as one approaches the shore, it may not become physically possible to navigate, but one can still reasonably say that one hasn't yet completely departed the water.",0.0,0
2022_21-454,j__ketanji_brown_jackson,69,"So why didn't Congress say ""immediately adjacent""? If they were trying to achieve something different than what the regulations had said about adjacency, if they were balancing their concerns about protecting the integrity of the navigable waters with the property interests and the states' rights to control it, why didn't they say ""immediately adjacent"" in terms of the -- of the wetlands coverage?",Damien M. Schiff,"Justice Jackson, we don't dispute that. However, no statute pursues its purpose or object -- or its objective at all costs, that -- that the limitations in the statute are as much a part of its purpose as its affirmative authorization.",0.0,0
2022_21-454,j__ketanji_brown_jackson,72,"""Abutting.""",Damien M. Schiff,Justice Jackson --,0.0,0
2022_21-454,j__ketanji_brown_jackson,76,"But can I -- can I -- can I just -- I'm sorry. You suggest that the balancing, that the limitation is about the concerns with respect to the state's administration, and 1344(g) is precisely where they're talking about what is left to the state versus the federal government, and in that statute, it just uses ""adjacent."" So I -- with respect, that seems to me to be exactly where they would have made clear that the federal government's scope of authority was abutting or immediately adjacent, and we're leaving the rest to the states, under your own theory of what they were trying to do.",Damien M. Schiff,"Well, Justice Sotomayor and Justice Jackson, I would say with respect to the question of immediate adjacency, I think one reason why Congress didn't bother is because I don't believe Congress was at all thinking that 404(g) would have any impact upon the scope of the Act. Again, if Congress intended to want to definitively change the scope of the Act, one would think that the most natural move would have been to amend the definition of ""navigable waters.""",0.0,0
2022_21-454,j__ketanji_brown_jackson,78,"So can I just ask you, so the reason why in your view Congress includes wetlands or -- or thinks some wetlands should be in there is what? Is it because they can't be distinguished or because those wetlands affect the water quality of navigable waters?",Damien M. Schiff,"Justice Jackson, my -- my disagreement there is that that presupposes that Section 404 already regulates the universe of all wetlands and that it's essentially a -- a -- a federal privilege whether or not any of that regulatory authority will be given back to the states. But I -- I don't believe that that's at all what Congress intended. I think Congress recognized that, setting aside the Clean Water Act, there would be a significant swath of land use and water regulation that would remain to the states. And I think one good example to prove that point is, as we discuss in the briefs, non-point source pollution. Everyone recognizes that non-point source pollution is a serious water quality issue, but it's never been disputed that the Clean Water Act doesn't reach that, which I think emphasizes that the purpose of Congress in enacting the Clean Water Act was not at all costs let's clean up water quality as much as we can. It was a balancing to recognize that some water quality measures, like wetlands regulation, inevitably, as the Sacketts' cases demonstrates, inevitably converts EPA and the Corps into land use administrators.",0.0,0
2022_21-454,j__ketanji_brown_jackson,80,"But, if you read Riverside Bayview carefully, it looks to me as though we were talking about the Corps's rationale, not Congress's, that we were saying the difficulty of being able to tell land from water is the reason that the Corps thought it should -- should or could include the abutting wetlands, but it doesn't suggest that that was Congress's reason, that Congress said something about wetlands because it would be too difficult to distinguish. So is there something in the text or the history of the statute that points to that concern as being one of Congress?",Damien M. Schiff,"Justice Jackson, I think the main answer is that precisely the rationale that Riverside Bayview gave, that inevitably, in deliminating any true waters, one will have to pick a point at which land ends and water begins, and in that intermediate zone, there will be things like wetlands.",0.0,0
2022_21-454,j__ketanji_brown_jackson,199,"Sorry. So you've said several times that Riverside Bayview said, at most, that some wetlands could be regulated. But, under your test, it appears that you're requiring visual indistinguishability. And I'm trying to assess whether or not Riverside base -- Bayview actually gets you there. In that case, was it clear that the marsh area was visually indistinguishable from the abutting creek?",Damien M. Schiff,"Well, it's certainly not definitive. It's not a ratification. And I don't want to go too far, Justice Barrett, in saying that it means nothing, because, again, Riverside Bayview says it -- it does mean something. But, again, it would be strange, it would be a -- a -- sort of an inversion of statutory interpretation to say that this parenthetical reference in a provision dealing principally with permit transfer authority suddenly backfills and dramatically changes the scope of the central definitional portion of the Act, again, a portion that is as -- as much at issue in criminal prosecution as it is in civil matters.",0.0,0
