case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2014_13-553,j__elena_kagan,10,"But, General, I think on -- on this question, CSX 1, I think your reasoning flies straight into the face of it, because CSX 1 talks about the notion that (1) through (3) is very different from (4) and that you can't -- this is just along the lines of what Justice Scalia says -- that you can't draw anything about the meaning of (4) from (1) through (3) given that they clearly -- they use different language, they're directed towards different things.",andrew_l_brasher,"Well, I don't think that -- that is a sufficient reason because I think that the comparison class that is spelled out in (b)(1), (b)(2), and (b)(3), if you apply it in (b)(4), it ensures that railroads are being treated fairly by tying them to a broad enough mass of politically influential taxpayers to keep their rates fair.
And the competitor class here that -- that CSX has proposed makes very little sense in the text of the statute.
I mean, it also, it doesn't really make sense in light of what this Court said in CSX 1 where the Court said that, at the very least, we should be looking at similarly situated taxpayers.",0,1
2014_13-553,j__elena_kagan,18,"But, you see, when you say “ similarly situated ”, and I think that's right, but that seems to go to your second argument, which is, look, they're not similarly situated because there's another tax that falls upon motor carriers that doesn't fall upon railroads, and that seems to me completely fair and -- but -- but not on the first question.",andrew_l_brasher,"--I don't think so.
Because I think -- I think the question is -- is -- at the very least, the question is what the comparison class should be, and I think that CSX tells us at the very least, they should be similarly situated to.",0,1
2014_13-553,j__elena_kagan,52,"General, one of the things that Mr. Phillips talks about is he -- he makes the point that this is a very hard inquiry to carry out and that the experience of courts, when they try to do this in commerce cases, shows that.
So what's your answer to that?",andrew_l_brasher,"It's my understanding that they are chemically the same.
That -- that the law is that the only difference between clear diesel fuel and dyed diesel fuel is that dyed diesel fuel is diesel fuel that has been indelibly dyed.
So it's my understanding that they are chemically the same.
It could be that the United States government regulates those uses differently through some kind of environmental regulation, but I'm not that I'm aware of that.
But I think -- I think what the -- setting the comparison class issue aside, what the district court did here is exactly what this Court told it to do when the Court remanded in -- in CSX 1, and that's it looked at our justifications, it found that they had nothing to do with railroads, and it also found that the railroads weren't practically disadvantaged by the kind of treatment that they were getting and they weren't practically disadvantaged with respect to truckers, because the truckers are paying a higher tax on the years at issue here.
And the railroads could pay that tax ultimately if they wanted to, but they don't want to because they realize that they're actually paying a lower tax rate on their diesel.",0,1
2014_13-553,j__elena_kagan,94,"Ms. Goldenberg, could I ask, you know, in one set of cases maybe a railroad is saying we're being singled out.
In another set of cases a railroad comes in and says no, we're not being singled out but our competitors are being treated better than we are.
Are there any other kinds of cases out there or is it mostly just, you know, as compared to the general taxpayer and as compared to competitors?
Is there any other way to -- to shape a complaint in this field?",elaine_j_goldenberg,"Mr. Chief Justice, and may it please the Court:
We disagree with Petitioners as to the comparison class issue and agree with Petitioners as to the issue of the alternative and comparable tax on the motor carriers.
I'd like to start with the comparison class issue if I could, although I'd like to devote time to both of those issues.
With respect to the comparison class issue, I do think, as Justice Scalia's question indicated, that the omission of a specific comparison class in (b)(4) is extremely telling here when there is such a specific comparison class set forth in (b)(1) through (3).
And I also think it's very important that I think there is a very good rational reason why Congress would have wanted to leave the comparison class issue open with respect to (b)(4) and not limit the comparison class in that arena to other commercial and industrial entities.
And the reason is this: With respect to property taxes, I think Congress can rest assured that virtually all commercial and industrial entities are going to have real property and that if you're grouping the railroads with those entities and you're doing something unduly burdensome, those entities are going to speak up, they're going to use their political power, they're going to complain in some way.
And so it's protective of the railroads to have that kind of comparison class.
With respect to other kinds of taxation, non-property taxation, I don't think you can say that the same thing is true.
And specifically with respect to diesel fuel, I think, and I'm just hypothesizing here, but it is very likely that there are many commercial and industrial taxpayers who either don't use diesel fuel at all or use very little diesel fuel in their businesses, such that a tax on diesel fuel that applies to them is a very small burden for them.
And if you are going to count on the fact that they're going to speak up if there is a very burdensome diesel fuel tax that's laid on them and on railroads, I don't think that that holds true.
And that's a situation in which, if it's really railroads and their competitors who are using the diesel fuel, then the competitors are the comparison class that you ought to be looking to.",2,1
2014_13-553,j__elena_kagan,100,Although I do think that might make one of Mr. Phillips' point is that maybe those cases don't fill one with confidence.,elaine_j_goldenberg,"--I think with respect to both of them there are -- I can explain why I think the taxes are comparable despite the arguments that have been raised.
But I just want to back up and, for a second, make a larger point which is, I think what the lower court has done here and what courts of appeals have done generally, is just sort of throw up their hands and say under no possible circumstances could we ever compare taxes, could we ever look beyond the face of the challenged tax.
And that can't possibly be correct.
This Court, in its dormant commerce class cases, in its cases about discrimination against the Federal government and those with whom it deals, does just that.
And there is no reason why the rule should be narrower here.",2,1
2014_13-553,j__elena_kagan,177,Is--,carter_g_phillips,"But that's just a conclusion, and it's not -- it's not true.
Because it is always available to the State to put our competitors in the same position we are in.
And if for some reason that's not possible, then that might well be a sufficient justification for some differential tax.
But it is all -- in this context, it is clearly possible.
There's no problem, you know, removing the exemption for the -- for the sales tax that the water carriers pay.
There is no problem imposing a 4 percent sales tax on the clear fuel that the motor carriers pay.
If they do that, we're done.",1,1
2014_13-553,j__elena_kagan,192,"--As -- as I understand the court of appeals' judgment as to the truckers, the court of appeals just said it's too complicated, forget it, we're not even going to look at Alabama's argument.
Now you're here and you're saying, well, Alabama's argument is too simple.
There's a whole raft of other things to -- to include in the analysis of whether that tax on the truckers is, in fact, comparable.
But the decision that we have before us just threw up its hands and refused to look at the whole alternative tax issue.
That seems, to me, a problem for you, isn't it?",carter_g_phillips,"Well, no.
Then I think we'd be right back to the same -- same boat.",1,1
2014_13-553,j__elena_kagan,194,"Well, doesn't it have to be appropriate as going in that Alabama can say, here's the tax that we impose on truckers?
They're really being treated in the exact same way just under two different provisions of the tax code, and then it's up to you to say why that's wrong.",carter_g_phillips,"Well, in the first place, it's not a problem for me if you decide on the water carriers.
But even on its own terms, it seems to me this Court has previously recognized in Snead, in a similar anti-discrimination provision, that it is simply not appropriate to do the kind of simple analysis Alabama proposes here and just say, at the end of the day, electricity is going to be better off in-state than out-of-state or out-of-state than in-state so don't worry about it, we're good.",1,1
2014_13-553,j__elena_kagan,196,"But that's not what the court of appeals said.
The court of appeals did not say, oh, you know, CSX has convinced us that these are not comparable taxes.
Instead, what the court of appeals said is we're not even going to look at whether they are comparable taxes.",carter_g_phillips,"Right, but -- and -- and we did say why that's wrong.",1,1
2014_13-895,j__elena_kagan,125,"And, Mr. Schnapper, isn't it right that after trial, when you submitted proposed findings of fact and conclusions of law, in fact, you did reference particular districts?
You referenced Senate Districts 18, 19 and 20.
In another place, you talked about all the majority-black districts in the State's black belt, and you explained how your theory of the case related to each one of those districts.",eric_schnapper,"We think in the context in which the case was litigated, there was no conceptual difference between challenging all the 36 districts and challenging 36 individual districts.
The reason the opinion reads the way it does is that the State didn't contend and we didn't contend that there was different district-specific purposes afoot.
The State's account of this, which everyone accepted, was that the State had a common purpose in adding those thousands of individuals to each district, which was to -- which was to continue the black percentage as it had been all along.
It was a purpose common to all of them.",0,1
