case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
15-1204,1,0,18,0.0,,4.0,,
15-1439,0,39,0,,7.0,,,
15-1509,0,6,12,0.5,6.0,6.0,0.0,0.0
15-577,1,0,5,0.0,,6.0,,
16-1094,1,0,16,0.0,,7.0,,
16-1140,1,2,6,0.3333333333333333,3.0,5.0,-2.0,-8.0
16-1144,1,13,23,0.5652173913043478,2.0,6.0,-4.0,-64.0
16-1150,1,4,10,0.4,5.0,6.0,-1.0,-1.0
16-1215,0,17,3,5.666666666666667,6.0,5.0,1.0,1.0
16-1275,0,10,3,3.3333333333333335,5.0,5.0,0.0,0.0
16-1276,1,0,17,0.0,,6.0,,
16-1348,0,10,0,,6.0,,,
16-1363,1,5,13,0.38461538461538464,6.0,5.0,1.0,1.0
16-1371,1,2,17,0.11764705882352941,3.0,6.0,-3.0,-27.0
16-1432,0,24,5,4.8,5.0,2.0,3.0,27.0
16-1498,0,14,0,,5.0,,,
16-240,0,13,0,,5.0,,,
16-299,1,0,6,0.0,,6.0,,
16-309,1,13,2,6.5,5.0,3.0,2.0,8.0
16-373,0,7,0,,6.0,,,
16-399,0,34,13,2.6153846153846154,6.0,6.0,0.0,0.0
16-402,0,7,39,0.1794871794871795,3.0,6.0,-3.0,-27.0
16-5294,0,8,3,2.6666666666666665,6.0,4.0,2.0,8.0
16-605,1,0,14,0.0,,5.0,,
16-6219,0,7,0,,6.0,,,
16-658,1,0,5,0.0,,5.0,,
16-6795,1,13,7,1.8571428571428572,4.0,5.0,-1.0,-1.0
16-784,0,12,8,1.5,6.0,4.0,2.0,8.0
16-961,0,2,10,0.2,4.0,5.0,-1.0,-1.0
17-1026,0,8,1,8.0,4.0,3.0,1.0,1.0
17-1042,0,9,2,4.5,5.0,3.0,2.0,8.0
17-1077,1,0,21,0.0,,5.0,,
17-1091,1,0,13,0.0,,6.0,,
17-1094,1,8,8,1.0,5.0,5.0,0.0,0.0
17-1184,1,0,23,0.0,,6.0,,
17-1201,1,0,17,0.0,,6.0,,
17-1268,1,0,17,0.0,,6.0,,
17-1272,1,0,8,0.0,,4.0,,
17-130,1,4,0,,4.0,,,
17-1307,0,11,0,,6.0,,,
17-1471,1,6,0,,6.0,,,
17-1484,0,22,0,,6.0,,,
17-1594,1,3,10,0.3,4.0,5.0,-1.0,-1.0
17-1606,1,0,0,,,,,
17-1657,0,2,1,2.0,4.0,5.0,-1.0,-1.0
17-1678,0,12,0,,6.0,,,
17-1712,0,5,3,1.6666666666666667,5.0,3.0,2.0,8.0
17-1717,1,18,20,0.9,5.0,5.0,0.0,0.0
17-21,1,1,4,0.25,3.0,5.0,-2.0,-8.0
17-312,1,0,7,0.0,,3.0,,
17-333,0,10,2,5.0,6.0,3.0,3.0,27.0
17-387,1,7,9,0.7777777777777778,5.0,5.0,0.0,0.0
17-419,1,0,2,0.0,,6.0,,
17-432,1,6,11,0.5454545454545454,5.0,6.0,-1.0,-1.0
17-530,1,3,8,0.375,4.0,5.0,-1.0,-1.0
17-5554,0,3,19,0.15789473684210525,6.0,7.0,-1.0,-1.0
17-571,0,1,3,0.3333333333333333,3.0,4.0,-1.0,-1.0
17-6086,1,3,14,0.21428571428571427,6.0,6.0,0.0,0.0
17-647,1,0,26,0.0,,6.0,,
17-71,1,6,21,0.2857142857142857,5.0,6.0,-1.0,-1.0
17-765,1,7,4,1.75,5.0,2.0,3.0,27.0
17-8151,0,1,2,0.5,4.0,4.0,0.0,0.0
17-834,1,0,21,0.0,,6.0,,
17-949,1,0,16,0.0,,7.0,,
17-9560,1,1,42,0.023809523809523808,3.0,6.0,-3.0,-27.0
17-9572,0,11,2,5.5,4.0,3.0,1.0,1.0
17-961,0,8,0,,5.0,,,
17-965,1,0,13,0.0,,5.0,,
17-988,1,3,10,0.3,5.0,6.0,-1.0,-1.0
18-1048,1,6,21,0.2857142857142857,4.0,5.0,-1.0,-1.0
18-107,0,3,25,0.12,4.0,4.0,0.0,0.0
18-1109,0,19,0,,5.0,,,
18-1116,0,5,7,0.7142857142857143,5.0,2.0,3.0,27.0
18-1334,1,0,0,,,,,
18-1432,1,0,13,0.0,,5.0,,
18-422,1,6,23,0.2608695652173913,3.0,6.0,-3.0,-27.0
18-481,1,0,11,0.0,,5.0,,
18-485,0,11,0,,6.0,,,
18-489,1,4,4,1.0,3.0,3.0,0.0,0.0
18-525,0,0,0,,,,,
18-556,1,18,27,0.6666666666666666,6.0,5.0,1.0,1.0
18-587,1,8,26,0.3076923076923077,4.0,6.0,-2.0,-8.0
18-5924,1,4,14,0.2857142857142857,4.0,6.0,-2.0,-8.0
