case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2005_04-1067,j__clarence_thomas,156,"Mr. Dreeben, is it... is this case materially different if she simply ran upstairs, grabbed the straw, brought it down, and handed it to the police officer?
It's, in effect, the same thing, isn't it?",michael_r_dreeben,"--Well, in this case, as in many other cases involving this kind of potential incident, the wife called the police to the scene.
So, there was a reason for them to be on the scene.
It was a perfectly valid investigatory step.
And once they acquired the information relating to drugs on the premises, and had the authority of someone who's in charge of the premises, I submit that the police should be able to conduct the search as a reasonable matter under the Fourth Amendment, just as they would if Respondent had been asleep or if Respondent had said,
""Well, I have to go now. ""
""Am I free to go? ""
and the police said that, ""You are"".
And I don't think that it always would be an advantage for the nonconsenting tenant, somebody like Mr. Randolph, to insist on the police getting a warrant or conducting a probable cause arrest.
If he's arrested, he's taken down to the station, he has a search incentive to arrest, he may not get a hearing for 48 hours.
If the police do have to get a warrant, they are entitled to search anywhere and everywhere in the premises; whereas, in this case, one of Respondent's main claims is that she wasn't credible.
Well, if she wasn't credible, and she had led the police upstairs, and the police had found nothing, that might have been the end of the whole incident.
And I think that it's because of the socially valuable function of efficiently resolving accusations, potentially dueling accusations of criminal conduct that consent searches can facilitate, that this Court has said that consent searches are a positive social good and should be encouraged, rather than discouraged.",0,1
2005_04-1067,j__clarence_thomas,272,"The... but this was not an uncabined search.
That's my problem.
What you're... what you're... the bottom, you're saying to us, is that it's not unreasonable... an unreasonable search if she went upstairs and brought the straw down, right?",thomas_c_goldstein,"--Justice Breyer, the Court has precedent on this very point, and that is... and, Justice Souter, he is asking about reasonable expectations of privacy... Minnesota versus Olson.
The Court considered this and said the very reason that person had standing and could... had a Fourth Amendment right is because they did have a reasonable expectation of privacy in the premises, that, even though they had no property rights to keep any... this is the overnight guest... had no property rights to keep anybody out at all, their expectation... their reasonable expectation of privacy for Fourth Amendment purposes... is that if somebody wanted to come in, to which they objected, that objection would be honored.
Now, I don't want to lose sight of the fact that our position is the balance; and that is, we don't tell the police to go away.
We say,
""Look, if she tells you that there's contraband in the house, she can bring it out. ""
That's the Coolidge case.
And I do think, Justice Thomas, that there is a difference in kind, not degree, in giving something to someone and then having... versus having a uncabined search of a house.
The complaint--",1,1
2005_04-1067,j__clarence_thomas,274,"Okay.
But you're saying it is an unreasonable search for her to lead the police officer to the straw.",thomas_c_goldstein,"--Yes, because that's not a search.",1,1
2005_04-1067,j__clarence_thomas,276,Which is what she did.,thomas_c_goldstein,Justice--,1,1
2005_04-1067,j__clarence_thomas,278,But she withdrew it after he observed the straw.,thomas_c_goldstein,"--Justice Thomas, it's how it played out, because they stopped the search then, because she withdrew her consent.
But what she authorized was something very different.
She--",1,1
2005_04-1327,j__clarence_thomas,165,"Counsel, before you change subjects, isn't it more accurate that the trial court actually found that the evidence met the Gregory standard?",<INAUDIBLE>,"--It's some evidence for the defense, but the problem is it lacked corroboration.
It wasn't given in a timely manner.
If you contrast that to the situation which occurred in Chambers v. Mississippi, there was an entire information that the Chambers situation had independent of the third party statement which supported and showed that that information did have persuasive assurances of reliability.
That was lacking in this particular case.
I see my time is about up, but I would--",,1
2005_04-1327,j__clarence_thomas,167,"Well, he says--",<INAUDIBLE>,"--No.
He specifically found, I believe, from my reading--",,1
2005_04-1327,j__clarence_thomas,169,"--Well, he says at first blush, the above arguably rises to the Gregory standard.
However, the engine that drives the train in this Gregory analysis is the confession by Jimmy McCaw White.
And then he goes on to say that that, of course, can't be introduced because it's hearsay.
So it... it seems as though he says that if it is to be believed what Jimmy White says, it meets the Gregory standard.
So I don't quite understand where Gay, which is subsequent to... to this case... where Gay comes in because it didn't seem to be the standard that the trial court applied.",<INAUDIBLE>,--that it didn't meet the Gregory standard.,,1
2005_04-52,j__clarence_thomas,195,"Counsel, is there anything in the record to alert us to the race of the prosecutor?",mark_r_drozdowski,"Absolutely, and I think it has merit here because it's... it's a reason the district attorney admitted that was motivating her strike.
It's... it's patently unconstitutional and it taints every other reason she gave.",1,1
2005_04-52,j__clarence_thomas,197,"Would it make any difference?
There seemed to be some suggestion that there are stereotypes at play in these Batson cases.",mark_r_drozdowski,There is not besides her name.,1,1
