case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
2020_142-orig,0,6,3,2.0,4.0,4.0,0.0,0.0
2020_18-1259,0,5,7,0.7142857142857143,5.0,4.0,1.0,1.0
2020_19-1039,0,3,10,0.3,5.0,5.0,0.0,0.0
2020_19-1155,1,5,15,0.3333333333333333,5.0,2.0,3.0,27.0
2020_19-123,1,4,5,0.8,3.0,3.0,0.0,0.0
2020_19-1231,1,8,6,1.3333333333333333,2.0,5.0,-3.0,-27.0
2020_19-1257,1,14,10,1.4,5.0,6.0,-1.0,-1.0
2020_19-1414,1,3,5,0.6,5.0,6.0,-1.0,-1.0
2020_19-1434,1,0,0,,,,,
2020_19-1442,1,6,3,2.0,2.0,2.0,0.0,0.0
2020_19-199,0,4,5,0.8,2.0,4.0,-2.0,-8.0
2020_19-251,1,8,8,1.0,3.0,4.0,-1.0,-1.0
2020_19-351,1,3,4,0.75,3.0,5.0,-2.0,-8.0
2020_19-416,1,5,4,1.25,5.0,4.0,1.0,1.0
2020_19-422,1,6,0,,3.0,,,
2020_19-508,1,2,8,0.25,5.0,5.0,0.0,0.0
2020_19-511,1,3,11,0.2727272727272727,3.0,6.0,-3.0,-27.0
2020_19-5410,0,3,4,0.75,5.0,3.0,2.0,8.0
2020_19-5807,0,5,7,0.7142857142857143,5.0,5.0,0.0,0.0
2020_19-783,1,4,4,1.0,5.0,4.0,1.0,1.0
2020_19-863,1,8,3,2.6666666666666665,4.0,5.0,-1.0,-1.0
2020_19-8709,0,3,4,0.75,3.0,2.0,1.0,1.0
2020_19-897,1,3,3,1.0,4.0,4.0,0.0,0.0
2020_19-930,1,3,2,1.5,2.0,3.0,-1.0,-1.0
2020_19-968,1,6,9,0.6666666666666666,5.0,6.0,-1.0,-1.0
2020_20-157,1,9,8,1.125,3.0,5.0,-2.0,-8.0
2020_20-18,1,5,4,1.25,4.0,6.0,-2.0,-8.0
2020_20-297,1,5,5,1.0,3.0,4.0,-1.0,-1.0
2020_20-315,0,3,5,0.6,5.0,4.0,1.0,1.0
2020_20-334,0,8,8,1.0,4.0,3.0,1.0,1.0
2020_20-382,1,5,1,5.0,3.0,2.0,1.0,1.0
2020_20-437,1,1,4,0.25,1.0,2.0,-1.0,-1.0
2020_20-440,0,3,5,0.6,3.0,6.0,-3.0,-27.0
2020_20-472,0,5,8,0.625,5.0,3.0,2.0,8.0
2020_20-512,0,6,2,3.0,4.0,2.0,2.0,8.0
2020_20-543,1,7,10,0.7,6.0,7.0,-1.0,-1.0
2020_20-5904,0,6,4,1.5,3.0,3.0,0.0,0.0
2021_143-orig,0,4,4,1.0,4.0,3.0,1.0,1.0
2021_20-1009,1,0,1,0.0,,3.0,,
2021_20-1029,0,0,0,,,,,
2021_20-1263,0,10,3,3.3333333333333335,4.0,5.0,-1.0,-1.0
2021_20-1472,1,1,5,0.2,3.0,4.0,-1.0,-1.0
2021_20-1566,1,1,0,,3.0,,,
2021_20-1800,1,4,4,1.0,2.0,5.0,-3.0,-27.0
2021_20-219,0,7,7,1.0,4.0,6.0,-2.0,-8.0
2021_20-303,1,9,5,1.8,6.0,5.0,1.0,1.0
2021_20-443,1,4,10,0.4,4.0,6.0,-2.0,-8.0
2021_20-480,0,12,3,4.0,4.0,5.0,-1.0,-1.0
2021_20-5279,1,8,1,8.0,5.0,6.0,-1.0,-1.0
2021_20-601,1,5,2,2.5,4.0,6.0,-2.0,-8.0
2021_20-637,1,6,3,2.0,6.0,5.0,1.0,1.0
2021_20-659,1,1,5,0.2,7.0,3.0,4.0,64.0
2021_20-804,1,3,2,1.5,4.0,5.0,-1.0,-1.0
2021_20-826,1,6,3,2.0,5.0,5.0,0.0,0.0
2021_20-827,1,5,12,0.4166666666666667,5.0,6.0,-1.0,-1.0
2021_20-828,1,14,22,0.6363636363636364,2.0,6.0,-4.0,-64.0
2021_20-915,1,0,0,,,,,
2021_20-979,0,3,4,0.75,4.0,5.0,-1.0,-1.0
2021_21-12,0,4,0,,5.0,,,
2021_21-248,1,11,7,1.5714285714285714,4.0,5.0,-1.0,-1.0
2021_21-328,1,8,5,1.6,5.0,3.0,2.0,8.0
2021_21-463,1,9,10,0.9,6.0,6.0,0.0,0.0
2021_21-5592,1,6,4,1.5,4.0,3.0,1.0,1.0
2022_156-orig,0,0,0,,,,,
2022_21-1043,1,5,0,,6.0,,,
2022_21-1052,0,8,1,8.0,5.0,4.0,1.0,1.0
2022_21-1086,1,7,6,1.1666666666666667,5.0,4.0,1.0,1.0
2022_21-1158,1,5,3,1.6666666666666667,5.0,5.0,0.0,0.0
2022_21-1164,1,1,3,0.3333333333333333,4.0,4.0,0.0,0.0
2022_21-1168,0,4,8,0.5,3.0,5.0,-2.0,-8.0
2022_21-1170,1,4,5,0.8,3.0,2.0,1.0,1.0
2022_21-1195,0,7,0,,4.0,,,
2022_21-1270,1,0,11,0.0,,6.0,,
2022_21-1271,0,21,9,2.3333333333333335,3.0,3.0,0.0,0.0
2022_21-1449,1,7,0,,3.0,,,
2022_21-1450,1,17,7,2.4285714285714284,6.0,5.0,1.0,1.0
2022_21-1454,0,5,5,1.0,5.0,5.0,0.0,0.0
2022_21-1484,1,0,0,,,,,
2022_21-1496,1,22,7,3.142857142857143,4.0,5.0,-1.0,-1.0
2022_21-1599,0,1,0,,3.0,,,
2022_21-432,0,0,1,0.0,,5.0,,
2022_21-454,1,14,23,0.6086956521739131,4.0,4.0,0.0,0.0
2022_21-468,0,14,3,4.666666666666667,6.0,5.0,1.0,1.0
2022_21-476,1,10,13,0.7692307692307693,5.0,6.0,-1.0,-1.0
2022_21-757,0,4,0,,4.0,,,
2022_21-806,0,4,0,,6.0,,,
2022_21-846,0,0,2,0.0,,6.0,,
2022_21-857,0,2,2,1.0,5.0,4.0,1.0,1.0
2022_21-869,0,8,1,8.0,4.0,3.0,1.0,1.0
2022_21-887,1,9,7,1.2857142857142858,1.0,5.0,-4.0,-64.0
2022_21-908,0,0,8,0.0,,5.0,,
2022_21-984,0,8,0,,4.0,,,
2022_22-10,1,9,0,,3.0,,,
2022_22-105,1,6,1,6.0,4.0,7.0,-3.0,-27.0
2022_22-138,0,18,11,1.6363636363636365,6.0,6.0,0.0,0.0
2022_22-166,1,10,7,1.4285714285714286,4.0,5.0,-1.0,-1.0
2022_22-174,1,9,11,0.8181818181818182,5.0,5.0,0.0,0.0
2022_22-179,1,12,6,2.0,3.0,5.0,-2.0,-8.0
2022_22-196,0,13,7,1.8571428571428572,6.0,5.0,1.0,1.0
2022_22-200,1,5,5,1.0,6.0,4.0,2.0,8.0
2022_22-227,0,21,0,,6.0,,,
2022_22-23,0,13,7,1.8571428571428572,4.0,2.0,2.0,8.0
2022_22-381,0,7,8,0.875,6.0,5.0,1.0,1.0
2022_22-506,0,13,24,0.5416666666666666,2.0,4.0,-2.0,-8.0
2022_22-535,1,5,5,1.0,3.0,4.0,-1.0,-1.0
2022_22-58,1,13,4,3.25,6.0,6.0,0.0,0.0
2022_22-96,1,5,0,,4.0,,,
2023_22-1025,1,10,4,2.5,4.0,4.0,0.0,0.0
2023_22-1074,1,15,1,15.0,5.0,6.0,-1.0,-1.0
2023_22-1078,0,3,5,0.6,5.0,3.0,2.0,8.0
2023_22-1165,1,2,2,1.0,2.0,3.0,-1.0,-1.0
2023_22-1178,0,5,0,,5.0,,,
2023_22-1219,1,15,11,1.3636363636363635,4.0,3.0,1.0,1.0
2023_22-193,1,11,11,1.0,6.0,6.0,0.0,0.0
2023_22-324,1,11,12,0.9166666666666666,4.0,3.0,1.0,1.0
2023_22-340,0,12,11,1.0909090909090908,5.0,3.0,2.0,8.0
2023_22-448,1,2,10,0.2,3.0,5.0,-2.0,-8.0
2023_22-451,1,7,3,2.3333333333333335,4.0,5.0,-1.0,-1.0
2023_22-500,1,9,9,1.0,4.0,5.0,-1.0,-1.0
2023_22-529,1,3,0,,3.0,,,
2023_22-555,1,3,21,0.14285714285714285,4.0,2.0,2.0,8.0
2023_22-585,0,9,2,4.5,5.0,4.0,1.0,1.0
2023_22-611,1,3,5,0.6,5.0,5.0,0.0,0.0
2023_22-6389,0,6,5,1.2,5.0,5.0,0.0,0.0
2023_22-660,1,7,7,1.0,4.0,4.0,0.0,0.0
2023_22-674,0,13,0,,5.0,,,
2023_22-704,1,10,0,,5.0,,,
2023_22-721,1,6,3,2.0,3.0,4.0,-1.0,-1.0
2023_22-800,0,12,9,1.3333333333333333,4.0,3.0,1.0,1.0
2023_22-846,0,6,1,6.0,3.0,7.0,-4.0,-64.0
2023_22-859,0,31,16,1.9375,4.0,4.0,0.0,0.0
2023_22-888,1,5,1,5.0,3.0,7.0,-4.0,-64.0
2023_22-899,1,11,1,11.0,7.0,3.0,4.0,64.0
2023_22-913,1,6,13,0.46153846153846156,5.0,6.0,-1.0,-1.0
2023_23-124,1,21,3,7.0,4.0,5.0,-1.0,-1.0
2023_23-14,0,16,2,8.0,5.0,6.0,-1.0,-1.0
2023_23-146,0,1,2,0.5,3.0,4.0,-1.0,-1.0
2023_23-175,1,12,11,1.0909090909090908,3.0,4.0,-1.0,-1.0
2023_23-235,1,12,10,1.2,2.0,5.0,-3.0,-27.0
2023_23-250,1,17,32,0.53125,5.0,5.0,0.0,0.0
2023_23-334,1,18,7,2.5714285714285716,4.0,6.0,-2.0,-8.0
2023_23-367,1,7,3,2.3333333333333335,5.0,5.0,0.0,0.0
2023_23-370,1,12,0,,3.0,,,
2023_23-411,1,10,18,0.5555555555555556,3.0,4.0,-1.0,-1.0
2023_23-50,1,12,5,2.4,4.0,3.0,1.0,1.0
2023_23-51,1,4,7,0.5714285714285714,4.0,6.0,-2.0,-8.0
2023_23-5572,0,9,13,0.6923076923076923,5.0,4.0,1.0,1.0
2023_23-719,1,21,9,2.3333333333333335,5.0,5.0,0.0,0.0
