case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label,claude_hostility,claude_question_type,gpt_hostility,gpt_question_type
2010_09-10876,j__elena_kagan,179,"Well, what are the other--",gary_k_king,"Your Honor, I don't believe that that is the only purpose that this form 705 could be used for. It is the common purpose for this form, but it is a form that the lab uses in every circumstance. And indeed, as I said, in New Mexico law, the defendant can ask for a second test. They can have that done. It's done at the State's expense. They can have it done at any laboratory that they want to. But if they have the report done at the State lab, and they're entitled to have that done, they would utilize the same form.",1.0,1,,,4,CLARIFYING
2010_09-11311,j__elena_kagan,68,"Mr. Marsh, I take it that you would agree that (b)(1)(B) is a violent felony under -- under ACCA; is that right?",william_e_marsh,"--Your Honor, the best definition of ""aggressive"" that I've seen was in the First Circuit opinion in the Herrick case which is cited in our brief, which the First Circuit refers to as forceful action, especially where intended to dominate or master. But on general everyday language, it strikes me that when a law enforcement officer wants somebody to stop, whether they're in a vehicle or not, the fight or flee sort of comes into play. And the person who responds by going toward the police officer and resisting in that way, which is the first part of this Indiana statute, would be acting in an aggressive way. The person who flees is not acting in an aggressive way. They're trying to avoid the confrontation, trying to get away from the law enforcement.",0.0,1,,,2,CLARIFYING
2010_09-11311,j__elena_kagan,70,"Well, if we think that (b)(1)(B) is a violent felony under ACCA and we know that (b)(1)(A) and (b)(1)(B) can receive the same punishment, that they're both classed as a class D felony, why should we make the distinction between the two under ACCA?",william_e_marsh,"Your Honor, it may very well be. It certainly would satisfy the risk element, similar in risk to the Begay case. I think it would still have to be decided whether it's violent and aggressive, but it may very well be.",0.0,1,,,5,CHALLENGING
2010_09-11311,j__elena_kagan,73,"But these are not nested offenses. These are not -- these are not lesser included offenses. Each has an element that the other lacks, and both are classed with -- apparently that the -- that the State thinks of them as equally severe. And if one is a violent felony under ACCA, there's an argument that the other should be treated in the exact same way.",william_e_marsh,"Your Honor, I would suggest because the Indiana General Assembly has decided in enacting this legislation that some vehicular fleeing presents a substantial risk of bodily injury to another and some doesn't, and they've drawn this distinction.",0.0,1,,,5,CHALLENGING
2010_09-11311,j__elena_kagan,136,"Well, Mr. Wall, wouldn't that suggest that if I just ran from a police officer, it would be a violent felony under ACCA?",jeffrey_b_wall,"--That's right, but I -- the Court has talked about, even in Chambers, about the risk of a violent confrontation with law enforcement officials, and it's done that under the Begay part of the test. And whereas that confrontation is only possible with burglary, it's necessary with this crime. It requires that an officer order you to stop and that you flee. So that -- that confrontation, which is only a possibility with burglary or attempted burglary, is elevated to a certainty with this offense.",1.0,1,,,4,HYPOTHETICAL
2010_09-11311,j__elena_kagan,154,"Mr. Wall, do you think that speeding or drag racing qualifies under your understanding of the test?",jeffrey_b_wall,"--But it's very -- it's hard to see what the difference would be between this and escape from custody. And this Court clearly indicated in -- in Chambers that escape from custody was different from failure to report under the statute in front of it. And I think this is as dangerous, maybe even more dangerous than escape from custody. If the Court were going to say that all running away could not be aggressive within the meaning of that word for Begay purposes, so too escape from a maximum security Federal prison, which in some sense is just running away, but it is extremely aggressive and it's extremely risky to others.",1.0,1,,,4,HYPOTHETICAL
2010_09-11311,j__elena_kagan,166,"But Mr. Wall, suppose they were? I understand your point that they're not, and you might be right about that. But let's suppose that they were. Let's suppose you had a three-tier set-up. One was simple flight; one was flight that causes risk of injury; one that is a flight that causes injury. And let's even say that the simple flight -- no, let's -- let's call them all felonies, but different classes of felonies. What would happen in that case? Would you still be here saying that the simple flight felony is a violent crime?",jeffrey_b_wall,"It's the vehicular flight offense. And one -- you know, I will take one issue with -- with -- you know, what my friend on the other side has said, which is (A) and (B) are not tiered, they're not greater and lesser offenses under State law.",1.0,1,,,4,HYPOTHETICAL
2010_09-11311,j__elena_kagan,168,"I -- I asked my clerk to just do a survey of the States, and he came up with -- and I'm sure that this is rough -- but that 46 of the States have these tiered systems. Now, there may be some questions as to some of them, like you've raised some questions about Indiana's, but that 46 States essentially conceive of this as two different kinds of conduct, one which is the violent kind and the other which is the not violent crime.",jeffrey_b_wall,"Yes. It's a tougher case, but we would be here saying that, because when you're looking at an offense categorically, for instance arson, you've got to look at all fires, all intentionally set fires, the ones that don't hurt anybody, the ones that do, and the ones that kill people, even though the fires that kill people will be prosecutable in most jurisdictions as a greater offense, like felony murder. And so when you're looking at it categorically you have got to look at all of the conduct in that category, even conduct that may be prosecutable under some greater offense. I think, you know, the other side sort of relies on this assumption that all conduct which might satisfy the greater will necessarily be prosecuted under the greater; and as a legal matter, it's included within the lesser and as a factual matter it's just not true that it always gets prosecuted under that greater offense. So it would be a tougher case. It would make our case more difficult, but I think legally and factually the government's answer would be the same.",1.0,1,,,5,CHALLENGING
2010_09-11311,j__elena_kagan,204,"Well, on this question of whether this statute is greater or lesser, it's greater or lesser if you just understand (b)(1)(A) as confined to vehicular flight. In other words, if one looks only at vehicular flight, then (b)(1)(A) and (b)(1)(B) are indeed greater or lesser offenses.",jeffrey_b_wall,"--Justice Breyer, I don't think so. If the Court were to affirm here, what that would mean is that the offense of flight is a violent felony insofar as you have a predicate conviction under a State statute where it's been punishable by up to a year, and so it could qualify for ACCA coverage. Now, some State convictions will have been treated as misdemeanors and won't be eligible for ACCA, but to the extent the State treats it as a felony it's risky enough to satisfy the residual clause. Now, if the Court treats (A) and (B) as what they are not, which is greater or lesser, then yes, I think there will be problems with various State statutes, as Justice Kagan pointed out, and this Court may have to clear it up down the road. But if it treats this basic offense as what it is, not a greater or lesser, but alternative means of proving a single offense that is risky, that would, I think, would take care of all flight cases going forward.",1.0,1,,,6,CHALLENGING
2010_09-11311,j__elena_kagan,206,"Do you think that if I flee in a vehicle, I could be prosecuted under both and receive sentences under both?",jeffrey_b_wall,"Yes, Justice Kagan, if you're looking only -- I take it you're looking only at the vehicle prong of (B), but the test in Schmuck is whether it's impossible to -- to commit the greater without committing the lesser. It's not impossible to commit (B), because it does have the two other prongs, and I think--",1.0,1,,,5,HYPOTHETICAL
