case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
04-1350,0,1,2,0.5,3.0,5.0,-2.0,-8.0
04-1376,1,1,0,,4.0,,,
04-1618,0,0,3,0.0,,4.0,,
05-1074,1,8,1,8.0,5.0,3.0,2.0,8.0
05-1272,0,0,1,0.0,,4.0,,
05-1589,0,6,6,1.0,6.0,6.0,0.0,0.0
05-1629,0,1,4,0.25,4.0,6.0,-2.0,-8.0
05-416,0,0,3,0.0,,6.0,,
05-502,0,1,3,0.3333333333333333,4.0,3.0,1.0,1.0
05-593,1,3,0,,6.0,,,
05-608,0,0,3,0.0,,6.0,,
05-83,0,0,4,0.0,,5.0,,
06-11206,0,5,2,2.5,4.0,4.0,0.0,0.0
06-11543,1,10,1,10.0,6.0,3.0,3.0,27.0
06-116,1,1,1,1.0,3.0,4.0,-1.0,-1.0
06-1457,0,1,5,0.2,3.0,5.0,-2.0,-8.0
06-1463,0,1,5,0.2,4.0,5.0,-1.0,-1.0
06-1509,0,1,0,,3.0,,,
06-1646,0,1,7,0.14285714285714285,3.0,5.0,-2.0,-8.0
06-278,0,3,0,,5.0,,,
06-340,0,2,5,0.4,5.0,5.0,0.0,0.0
06-376,1,0,4,0.0,,5.0,,
06-413,0,0,1,0.0,,5.0,,
06-484,0,1,1,1.0,4.0,5.0,-1.0,-1.0
06-562,1,1,0,,4.0,,,
06-593,0,0,2,0.0,,5.0,,
06-694,0,2,12,0.16666666666666666,4.0,5.0,-1.0,-1.0
06-766,0,0,4,0.0,,5.0,,
06-8120,0,8,1,8.0,5.0,3.0,2.0,8.0
06-8273,0,2,0,,3.0,,,
06-84,0,2,1,2.0,6.0,6.0,0.0,0.0
06-9130,1,5,2,2.5,5.0,4.0,1.0,1.0
07-10374,1,2,4,0.5,4.0,5.0,-1.0,-1.0
07-1315,0,0,2,0.0,,6.0,,
07-1410,0,3,3,1.0,4.0,6.0,-2.0,-8.0
07-1601,0,3,4,0.75,5.0,5.0,0.0,0.0
07-21,1,5,0,,6.0,,,
07-474,1,8,2,4.0,6.0,5.0,1.0,1.0
07-636,1,3,0,,6.0,,,
07-665,0,0,4,0.0,,5.0,,
07-9712,1,6,0,,6.0,,,
08-1065,1,0,12,0.0,,6.0,,
08-1196,0,4,1,4.0,5.0,3.0,2.0,8.0
