case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
16-405,j__neil_gorsuch,105,I-80 across Montana. (Laughter.),julie_a_murray,"And they can go in many different routes, Your Honor.
I think here where you have --",1.0,1
16-405,j__neil_gorsuch,108,Maybe it's 90.,julie_a_murray,"And they can go in many different routes, Your Honor.
I think here where you have --",1.0,1
16-405,j__neil_gorsuch,123,"And, counsel, I -- I must apologize. It's 90 across Montana. (Laughter.)",julie_a_murray,It would take care of the question of where a plaintiff lives.,1.0,1
16-405,j__neil_gorsuch,124,"80 across Wyoming.
I'm very sorry, Mr. Chief Justice. (Laughter.)",julie_a_murray,It would take care of the question of where a plaintiff lives.,1.0,1
16-405,j__neil_gorsuch,140,"Ms. Murray, one of the rationales that Montana relied on was that Daimler applied only to foreign corporations, and I didn't see the briefs really grapple or attempt to defend that. Do you -- do you concede that that's erroneous?",julie_a_murray,"He is a North Dakota resident. And -- and was injured, you know, in -- in the State of Washington.
Again, I think an example of how far these workers frequently travel in order to bring their -- or frequently travel in the course of their -- their work for BNSF, it, in many ways, is simply a coincidence whether they're injured at home versus injured somewhere else, and of course, they would have no way of knowing that in advance. But I -- I would say with respect to bringing suit in Federal court, I don't think it would completely solve the problem in this sense.
You know, when Congress thought these cases would be brought in State court, it didn't want them removed -- or, at least where plaintiffs chose to file them in State court, it did not want them to be removable.
And I think part of that is because these are personal injury cases.
Some of them are low -- low-dollar claims.
Congress wanted the -- the plaintiffs to have their choice of forum too, with respect to, you know, if you want to take this kind of claim to a State court judge for whom this is the bread and butter of their docket, you can do that.
And I think if you were to -- to limit these types of claims to Federal court in Montana, for example, or on the doing-business rationale, one, plaintiffs would still be very limited in terms of where they could choose State courts, but it also wouldn't be as easily accessible to them.
I mean, most of the time, Federal courts you only have one or two in a State, and so it's not going to be as readily available of a forum for injured workers who, you know, certainly as compared to the railroads, are going to be far more burdened by a rule like that.",1.0,1
16-405,j__neil_gorsuch,142,Thank you.,julie_a_murray,"We don't -- we think the way that the Montana Court framed it, I think, is not a helpful one to think about it. What -- what I would say is this: I don't think that you can simply say Daimler doesn't apply because it was a foreign corporation. But I do think Daimler, as earlier general jurisdiction cases had recognized, continued to recognize the nature of context matters.
And so certainly, I think once you start moving up the corporate chain, once you start hopping into other continents and having to impute -- to the extent that that is actually appropriate -- having to impute contacts of a subsidiary, I think the nature of the contacts becomes so attenuated, that at that point that transnational element of Daimler actually does play a role; it's just not a dispositive one.",1.0,1
16-466,j__neil_gorsuch,91,"Counsel, one thing we haven't talked about, we've talked a fair amount about fairness and predictability, but we haven't talked about federalism.
I know Mr. Katyal was trying to get to that.
I was hoping you might just give us a couple of words about what implications there are for the interests, say, of Ohio in administering its own procedures with respect to its own citizens for torts that occur in its own State.",rachel_p_kovner,"Yes.
And with respect to the civil component, I mean, courts have looked to personal jurisdiction considerations.
We think if it's a Federal statute, the relevant question would be a Fifth Amendment analysis.
But if you look to the statutes that -- that Respondent cites, we're talking about statutes that exert some kind of -- that involve conduct that exert some kind of effect on US citizens or -- or the United States.",2.0,1
16-466,j__neil_gorsuch,93,"Or -- or McIntyre, maybe?",rachel_p_kovner,"Yes, Your Honor.
So going back to World-Wide Volkswagen and continuing --",2.0,1
16-466,j__neil_gorsuch,157,"Well, but, Mr. Goldstein, that's a very fact-specific argument.
And we took this, I thought, to decide the legal question whether we have some sort of causation requirement or permit this sliding scale business that California engages in, as a legal matter.
And on that, I just wonder if -- if we move to this all-things-considered approach, are we collapsing what had been previously two separate due process inquiries, one was purposeful availment, and the other was fundamental fairness.
And as I hear it, really, it all just boils down to fundamental fairness. And as Judge Silverman said, a length of the chancellor's foot. So I'm just wondering what happens doctrinally to the first test? Does it have any bite? And if it doesn't, does that suggest some problem doctrinally, formally, with your position?",thomas_c_goldstein,"Well, all I can say is that in New -- the example of New Jersey and specific jurisdiction, they would be adjudicating the claim of somebody who was harmed in Ohio, even though it's not their home. But I did really want to focus on the -- the special interest that California has here because of the role of McKesson.
You know, the Court is involved in --",1.0,1
16-466,j__neil_gorsuch,167,"What's confusing, though, about simply saying here's the correct test, reverse, remand, go apply the correct test?",thomas_c_goldstein,"Right.
Exactly.
But I have a second answer, and that is, there is a critical additional contact here that gives rise to a very significant interest of California. And understanding, Justice Gorsuch, there's a big picture question about the standard, but then we do have a set of facts here.
The California court did draw on McKesson's role.
It can't just be taken away from us, and it would be very confusing to the lower courts to simply cast it aside.
And that is, California has a very significant interest --",1.0,1
16-466,j__neil_gorsuch,196,"But in MDL litigation, you're in Federal court.
So the procedures are common across courts, in theory.",thomas_c_goldstein,"Okay.
A couple things about that -- that's true.
Okay? A couple of things about that. Remember that a bunch of Mr. Katyal's points about one forum making choice of law decisions, or having its own procedures that are different from the home forum are obviously true in MDL litigation.
It raises the same constitutional question.",1.0,1
16-466,j__neil_gorsuch,198,Maybe more in theory than in practice.,thomas_c_goldstein,Well -- but remember --,1.0,1
16-466,j__neil_gorsuch,228,"Well, if you don't -- sorry, Mr. Goldstein -- but if you don't need a single plaintiff to satisfy the first prong of the due process inquiry, again, what function does that first prong have left to do? Why doesn't it all just run into the second fundamental fairness test?",thomas_c_goldstein,"It would relate to, but it would not be constitutional because it would not be reasonable under the second part of the test.
Because they're already in California, en masse.
They are facing dozens upon dozens upon dozens of the same claim. Remember what the Court said in making the move from Pennoyer to International Shoe, which I'd like to come back to --",1.0,1
16-466,j__neil_gorsuch,230,What's left?,thomas_c_goldstein,Well --,1.0,1
16-466,j__neil_gorsuch,232,"Great question.
Is it presented?",thomas_c_goldstein,"Well, because it gives the State the power, the territorial power, because it does have the power to adjudicate with respect to that conduct.
It is both parts that are important. I had said that I wanted to come back to you about a bigger picture answer a -- a little while ago, and that is, I do think it's really important that this may be the beginning or the middle of a multi-decade effort to try and take a look at the original understanding of the due process clause, and do that across the Court's body of precedent. And we have urged the Court, if it is serious about that endeavor, to take a look at the relationship of International Shoe and Pennoyer, because from the founding of the country up through the adoption of the Fourteenth Amendment, it was perfectly clear and undisputed that California could adjudicate this claim, at least up to and including the assets that they have in the State of California.
They are within California's territory.
There is no dispute about that. International Shoe and Shaffer say we are going to modernize our understanding of the Fourteenth Amendment.",1.0,1
16-373,j__neil_gorsuch,35,"But, Mr. Goldstein, when I see the word ""action,"" I think of lawsuit, traditionally, and ""claim"" as the claims within the lawsuit.
And the laws often distinguish between actions and claims.
The securities laws do, routinely.",thomas_c_goldstein,"Just to return to the -- how they understand the world will operate, and that is, according to my friend, what will happen is on Day 1, as they understand the statute, a party like CalPERS will move to intervene in the class action, will file a piece of paper saying we are seeking either intervention as a matter of right or permissive intervention.
Then nothing will happen.
And, then, 4 years down the road, if class certification is denied, that case will start up again. The only difference between our rule, it has no practical consequence, except for the fact that they add additional litigation for district courts to deal with on the front end.
All the same amendments can happen --",0.0,0
16-373,j__neil_gorsuch,37,"Here, why -- why shouldn't we follow the plain language and the traditional understanding of the term ""action""? Congress could have use ""claims,"" which is what you're saying, it's the same claims, as Justice Breyer points out, but it's a different action.",thomas_c_goldstein,Right.,0.0,0
16-373,j__neil_gorsuch,39,Why not?,thomas_c_goldstein,"Well, I'll -- can I just say first, I think we would win even if it was lawsuit, because the lawsuit that matters, what American Pipe teaches us in terms of putting the other side on notice of the lawsuit, is the class complaint.
But if you were to disagree with that and if you were to say, look, if you're going to say -- if we hold that it's a lawsuit, you're going to lose, so it better not be a lawsuit. The reason here is that what Congress was concerned about was the assertion of liability.
And if I could just give you a couple of examples of why I think I have to be right. Imagine that in year 4, a new plaintiff moves to intervene in an existing lawsuit.
Okay.
The lawsuit is on file.
I don't think the other side would be willing to say, hey, you know, there's no new action here.
You're free to do it.
Or, alternatively, imagine an orderly -- ordinary bilateral litigation.
I and my friend sue -- we probably shouldn't do this -- but sue Lehman Brothers under Section 11.
Okay.
We have a dual complainant.
And years into it, the district judge says, look, you're actually suing over different securities.
I want to you break it up into two different complaints.
We're going to have two different docket numbers.
And so the second complaint is filed. I don't think we would say it's a new action.",0.0,0
16-373,j__neil_gorsuch,41,"I mean, I don't like the policy consequences, but as a matter of plain language, why wouldn't we?",thomas_c_goldstein,"Well, because it would -- because the ordinary --",0.0,0
16-373,j__neil_gorsuch,43,"I just don't read Jones that way, though.
I read Jones as saying the action may contain exhausted claims and unexhausted claims, but it doesn't conflate the two claims.",thomas_c_goldstein,"Well, because it can be either one.
Jones v. Bock teaches us that in some contexts it does mean the individual claim and in some cases it means the actual --",0.0,0
16-373,j__neil_gorsuch,73,Where -- where is the ambiguity in -- in no event?,thomas_c_goldstein,"That is correct.
If we were to be violating the Rules Enabling Act, of course, our interpretation could not stand, and so I should talk about that for a moment. American Pipe confronts a quite similar argument, of course, where the other side argued -- and remember, American Pipe has the parallel structure; the 1-year period and the 4-year period saying it shall be forever barred. And what this Court said in American Pipe, and all of its Rules Enabling Act precedent is that, look, obviously, there are rules of procedures that have subsequent consequences.
So you violate the rule, then you have no more right. That's not what the Rules Enabling Act is talking about.
It is not talking about a rule about when or where or how you file your lawsuit, which is why the limitations period and, equally, a repose period is concerned with. If I could just return to kind of the question of whether or not it would have made sense for Congress to have enacted this, and I -- I take the point that maybe Congress -- if Congress enacts bad rules, Congress enacts bad rules.
But there is ambiguity in the statute, and I'm --",0.0,0
