case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2019_18-280,j__samuel_a_alito_jr,101,But let's go to something --,Richard P. Dearing,"Mr. Chief Justice, and may it please the Court: Contrary to how they're presenting it now, Petitioners framed this case narrowly. They argue that a premises license, a premises license specifically, must allow certain limited transport of the licensed handgun to effectuate its possession and use in the premises, and they sought only injunctive and declaratory relief to require the city to allow that limited transport. And that narrow framing, in turn, has two implications now. First, the case is moot because changes in state and city law have given Petitioners everything they asked for and, indeed, more than that. Petitioners suggest these changes should be viewed skeptically, but it's a good thing and not a cause for concern when the government responds to litigation by resolving matters through the democratic process. The Solicitor General agrees that all the objections actually raised by Petitioners to mootness are unfounded but suggests that the Court could proceed to the merits of the constitutional questions anyway because Petitioners might be -- in the future be able to add a new claim for damages that they have never asserted and still now only most reluctantly embrace. The Court has never adopted that kind of reasoning under Article III and it should not begin with this case. And the second implication of the case's framing is that if the case weren't moot, the only question presented on the merits would be whether a premises license must, as an adjunct thereto, include the implied transport rights sought by Petitioners. Though Petitioners now invoke a general right to bear arms outside the home, a premises license is not addressed to that purpose. A premises license is instead issued for possession in a particular place, and Petitioners never challenged the separate New York license that is addressed to carrying weapons outside the home, which is the carry license. So those broad questions are not properly part of this case. Turning first to the issue of mootness, and I'll go straight to the question of coffee stops, there are two -- two levels to this response. First is, there is no dispute on that question. The city's enforcement -- the -- the governing standard is provided by state law here because the state enactment preempts local law. The ""continuous and uninterrupted"" language cited by my friend is not in the state law. The city acknowledges that. And the city's enforcement position is that coffee stops, bathroom breaks are entirely permissible --",1,0
2019_18-280,j__samuel_a_alito_jr,103,"-- beyond a coffee stop or a bathroom break. Suppose they had prevailed under and obtained a judgment that the old law was a violation of the Second Amendment, and suppose that after that, one of the plaintiffs had made a trip to a firing range in, let's say, New Jersey and, while there, decided to stop to visit his mother for a couple of hours to take care of a few things for her. Would there be any law that that would violate?",Richard P. Dearing,-- under current law.,1,0
2019_18-280,j__samuel_a_alito_jr,105,"No, no, no, no, we're back, without the new laws, city or state, would that have been -- would that have been legal conduct?",Richard P. Dearing,"That would be, I think -- I'm not certain that it would. I think that would have to be a question now to be litigated under the state law, which would have nothing --",1,0
2019_18-280,j__samuel_a_alito_jr,107,"After a judgment that the old law was unconstitutional, prior to the enactment of any new law.",Richard P. Dearing,If that had happened prior to the changes in conduct?,1,0
2019_18-280,j__samuel_a_alito_jr,109,"Well, what -- you don't know what -- you don't know whether there's any city law that that would violate?",Richard P. Dearing,I don't think it's -- it's at all clear because that question -- those kind of questions were never put at issue or litigated in the case. And so --,1,0
2019_18-280,j__samuel_a_alito_jr,111,Yeah.,Richard P. Dearing,If there were a judgment that said that our law had been struck down -- our former --,1,0
2019_18-280,j__samuel_a_alito_jr,113,Yeah.,Richard P. Dearing,-- law had been struck down?,1,0
2019_18-280,j__samuel_a_alito_jr,115,"So then why is this case moot? Because they didn't get all that they wanted. They wanted a declaration that the old law was unconstitutional, period. And what they have obtained as a result of the new city ordinance and the new state law is a rule that says, yes, you can take the firearm to a firing range outside of New York City, but it must be a direct trip. It can't include an hour spent with your mother.",Richard P. Dearing,I'm not aware of any city law that that --,1,0
2019_18-280,j__samuel_a_alito_jr,119,And why wouldn't that include a non-direct trip?,Richard P. Dearing,"It's in -- it's in a number of docket entries, and I don't remember the numbers offhand, but they're in the summary judgment in -- in both motions for preliminary judgment -- injunction, motions for summary judgment, across several different docket numbers, injunctions were repeatedly proposed by the Petitioners. They're basically verbatim, identical. And what they say is they want an injunction restraining the city from enforcing its old rule in any manner that would prohibit or preclude plaintiffs from traveling to shooting ranges and second homes outside of --",1,0
2019_18-280,j__samuel_a_alito_jr,142,But do you think it's really fair for you at this point to look for specific allegations in the complaint to defeat a claim of mootness that the plaintiffs had no reason whatsoever to anticipate until after we granted certiorari and the city decided to try to moot this case?,Richard P. Dearing,"Absolutely. And we've -- we've consulted that office. They're aware of this. We will communicate to them that -- that no such consequences are -- are to be imposed and the event -- in the extremely unlikely, and I think not going to happen, event that any -- that anyone thought that that might have happened, they should bring that to the attention of the Law Department and we'll review it and make sure that it's addressed. I -- I do, though, want to just put a slightly finer point on the lack of factual basis, in any event, for the claim of future consequences. The Petitioners only now have made this allusion to their complaint. They've been renewed twice since then. The Court, of course, ordinarily presumes individuals follow the law. Even before this case, our -- our practice was not to ask people to disclose past violations unless it had resulted in an arrest, summons, revocation, or something like that, and there is no suggestion that any Petitioner has had any of those events.",1,0
2019_18-280,j__samuel_a_alito_jr,144,"Well, how does that confirm that they got everything that they asked for? If you say, well, they didn't ask for nominal damages, they didn't ask for actual damages, they didn't specifically allege that they violated the old law, you -- you really -- they didn't allege that they wanted to make a non-direct trip, how could any plaintiff possibly have anticipated that until you took the quite extraordinary step of trying to moot the case after we granted review?",Richard P. Dearing,This -- that just confirms that the plaintiffs got everything they asked for in this case. There's nothing -- the -- the issue of potential --,1,0
2019_18-280,j__samuel_a_alito_jr,146,Yeah. And did the city have nothing to do with the enactment of that law?,Richard P. Dearing,"First, the state legislature has passed a new state law here.",1,0
2019_18-280,j__samuel_a_alito_jr,166,"Mr. Dearing, are the -- are people in New York less safe now as a result of the enactment of the new city and state laws than they were before?",Richard P. Dearing,"-- which is a different case. Rule 54, I think, is really a red herring here. Rule 54 is a question that governs the district court's power -- remedial powers when a live controversy remains continuing before it. It says that the district court is not beholden necessarily to what is -- categorically beholden to what is included in a prayer for relief and can craft appropriate remedies. But the Court and lower courts do not look to Rule 54 in determining questions under Article III. The right place to look is the complaint, the consistent litigation history, and the courts below that determined what did the plaintiff ask for and has what they asked for been provided. And that has happened here.",1,0
