case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
16-1094,1,0,9,0.0,,5.0,,
16-1498,1,3,10,0.3,6.0,5.0,1.0,1.0
17-1026,1,2,6,0.3333333333333333,1.0,5.0,-4.0,-64.0
17-1094,1,6,12,0.5,6.0,6.0,0.0,0.0
17-1104,0,2,11,0.18181818181818182,5.0,4.0,1.0,1.0
17-1174,1,4,14,0.2857142857142857,4.0,5.0,-1.0,-1.0
17-1184,0,1,2,0.5,2.0,6.0,-4.0,-64.0
17-1229,0,8,11,0.7272727272727273,6.0,5.0,1.0,1.0
17-1272,1,9,5,1.8,6.0,5.0,1.0,1.0
17-1307,0,12,9,1.3333333333333333,6.0,6.0,0.0,0.0
17-1498,1,0,12,0.0,,4.0,,
17-1594,1,1,12,0.08333333333333333,3.0,5.0,-2.0,-8.0
17-1606,1,0,0,,,,,
17-1618,0,1,0,,3.0,,,
17-1672,0,3,6,0.5,5.0,6.0,-1.0,-1.0
17-1678,0,4,8,0.5,4.0,6.0,-2.0,-8.0
17-1705,1,13,6,2.1666666666666665,4.0,6.0,-2.0,-8.0
17-1712,0,7,33,0.21212121212121213,5.0,5.0,0.0,0.0
17-1717,1,14,16,0.875,6.0,5.0,1.0,1.0
17-290,1,1,0,,3.0,,,
17-419,1,2,10,0.2,2.0,5.0,-3.0,-27.0
17-5554,0,3,3,1.0,5.0,5.0,0.0,0.0
17-646,0,6,6,1.0,6.0,4.0,2.0,8.0
17-647,1,1,9,0.1111111111111111,4.0,4.0,0.0,0.0
17-765,1,0,12,0.0,,5.0,,
17-773,1,6,20,0.3,5.0,2.0,3.0,27.0
17-834,1,5,13,0.38461538461538464,5.0,6.0,-1.0,-1.0
17-8995,0,4,6,0.6666666666666666,5.0,5.0,0.0,0.0
17-9572,1,3,9,0.3333333333333333,2.0,6.0,-4.0,-64.0
17-961,0,0,21,0.0,,5.0,,
17-988,1,7,1,7.0,5.0,4.0,1.0,1.0
18-1023,1,0,11,0.0,,5.0,,
18-1059,1,1,0,,3.0,,,
18-1086,1,4,0,,3.0,,,
18-1109,0,15,14,1.0714285714285714,5.0,3.0,2.0,8.0
18-1150,0,1,25,0.04,4.0,6.0,-2.0,-8.0
18-1195,1,0,22,0.0,,5.0,,
18-1233,1,5,24,0.20833333333333334,2.0,5.0,-3.0,-27.0
18-1334,1,5,0,,3.0,,,
18-281,1,1,12,0.08333333333333333,3.0,4.0,-1.0,-1.0
18-302,0,2,15,0.13333333333333333,4.0,6.0,-2.0,-8.0
18-315,0,12,0,,6.0,,,
18-328,0,10,18,0.5555555555555556,4.0,5.0,-1.0,-1.0
18-389,1,0,10,0.0,,5.0,,
18-459,0,11,24,0.4583333333333333,2.0,6.0,-4.0,-64.0
18-485,1,2,7,0.2857142857142857,4.0,5.0,-1.0,-1.0
18-525,0,8,1,8.0,5.0,3.0,2.0,8.0
18-556,1,0,16,0.0,,7.0,,
18-565,0,3,5,0.6,5.0,3.0,2.0,8.0
18-587,1,8,21,0.38095238095238093,5.0,5.0,0.0,0.0
18-5924,1,5,7,0.7142857142857143,3.0,6.0,-3.0,-27.0
18-6135,0,9,6,1.5,6.0,5.0,1.0,1.0
18-6210,1,3,10,0.3,5.0,2.0,3.0,27.0
