case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2020_18-956,j__sonia_sotomayor,55,"Counsel, I -- I -- I go back to the essence of the question that I think my colleagues are asking, is how do you differentiate between declaring codes and implementing codes? Because you agree -- you agree that you couldn't have copied their implementing code because there are multiple ways of doing that. But you fight the declaring codes because there are multiple ways of declaring as well. Apple has a different way of declaring the same functions. They spent the billions of dollars necessary. Presumably, you could have. And yet, you spent so much time in your brief convincing me that implementing and declaring codes go together in this hand. They merge. How do we draw the line?",Thomas C. Goldstein,"You should recognize, I think, that those factors are continuums. And so, if you were to say, well, I do think, you know, notwithstanding the jury verdict, that there was some market effect here, and you couldn't -- you'd have to check the box that's saying that there is a market effect, what you have to recognize is that a jury, looking at all the evidence, could reasonably conclude that nonetheless the other fair use factors, including, importantly, the fact that the original material here, the declarations, is barely creative and the fact that it unleashed millions of creative computer programs used by a billion people, that that on the whole, it is not unreasonable for the jury to find fair use, given that it was the jury's responsibility.",0,1
2020_18-956,j__sonia_sotomayor,57,Could I --,Thomas C. Goldstein,"You don't. It is actually Oracle that is trying to draw the distinction that you say is not recognized by the statute or common sense. The legal principle that you can reuse computer codes that can only be written one way applies to both declaring code and implementing code. Oracle concedes that if the implementing code could only be written one way, we could reuse it. It cannot explain why it is that -- that given that the declaring code will not function if it's written another way, we cannot reuse that. They are trying to draw that line. With respect to Apple, it is true that Apple didn't reuse the Java SE declarations because it wasn't using Java. It did reuse other declarations, as the amicus briefs say. That's like saying merger doesn't apply --",0,1
2020_18-956,j__sonia_sotomayor,59,"May I -- may I stop you right there? That's the nub of the problem, which is, what gives you the right to use their original work? What -- how do you define ""method of operation"" so that there's a clean line between that and when you have to create new code?",Thomas C. Goldstein,-- to something in --,0,1
2020_18-956,j__sonia_sotomayor,61,Like an implementing code.,Thomas C. Goldstein,So --,0,1
2020_18-956,j__sonia_sotomayor,63,"My problem with your argument is, what's your definition of ""interoperability""? It seems one-directional. You seem to define it as the extent to which existing third-party applications can run on your platform, but not whether apps developed on your platform can run on systems that use Java SE. So it's one way.",Thomas C. Goldstein,"Sure. So Section 102(b), what it tells you is that you can't get a copyright in the functionality of a computer code. And there are so many things listed in Section 102(b), like method of operation, because Congress wanted to be encompassing. You get to copyright none of the functionality. It's the merger doctrine that tells us that if there is only one way to write the computer code that will provide that functionality, then you can't get a copyright, copyright protection. You have to get patent protection. With respect to the implementing code, because there are numerous ways to write the implementing code, as the district court found, we wrote it, millions of lines of it. The only reason that we reused the declaring code -- we would have happily rewritten our own -- is that we had no other choice. We couldn't write a computer program that would respond to the developers' instructions without reusing this limited set of instructions.",0,1
2020_18-956,j__sonia_sotomayor,65,So could people now copy your -- your -- you now have developed many different packages and platforms and things like that. Can they copy yours now?,Thomas C. Goldstein,"No, Your Honor. The --",0,1
2020_18-956,j__sonia_sotomayor,67,"Thank you, counsel.",Thomas C. Goldstein,"They can copy any part of our code, including certainly our interfaces, our declarations, that can only be written this one -- this way. We have interoperability in the fact that the developers' instructions work with our methods, our classes, and our packages. It very frequently is the case that you have, in modern computer programming, interoperability that means you have a new software program that comes in and supplants an older, less superior one, one that doesn't work nearly as well. That is actually incredibly important and what Congress would want, and that is to be able to take the functionality of a computer program, someone else comes along and does it better. It's no surprise that we don't use all of the packages because they don't have anything to do with a modern smartphone. They don't have a GPS function to them. On the other hand, the smartphone doesn't have a computer mouse. There's no reason in the world to think you would reuse all of them. And it would be impracticable given the constraints of a smartphone.",0,1
2020_18-956,j__sonia_sotomayor,128,"Counsel, at the -- in your beginning statement, you had the sky falling if we ruled in favor of Google. The problem with that argument for me is that it seems that since 1992, and Justice Kagan mentioned the case, the Second Circuit case, a Ninth Circuit case, an Eleventh Circuit case, a First Circuit case, that a basic principle has developed in the case law, up until the Federal Circuit's decision. I know there was a Third Circuit decision earlier on in the 1980s. But the other circuits moved away from that. They and the entire computer world have not tried to analogize computer codes to other methods of expression because it's sui generis. They've looked at its functions, and they've said the API, the Application Programming Interface, of which the declaring code is a part, is not copyrightable. Implementing codes are. And on that understanding, industries have built up around applications that know they can -- they can copy only what's necessary to run on the application, but they have to change everything else. That's what Google did here. That's why it took less than 1 percent of the Java code. So I guess that's the way the world has run in every other system, whether it's Apple's desktop or Amazon's web services, everybody knows that APIs are not -- declaring codes are not copyrightable. Implementing codes are. So please explain to me why we should now upend what the industry has viewed as the copyrightable elements and has declared that some are methods of operation and some are expressions. Why should we change that understanding?",E. Joshua Rosenkranz,"No, Your Honor. I -- I -- I think what this Court has done under fair use is de novo review. Harper was a -- was a de novo case. This Court said explicitly that it was not sending it back to the district court to resolve anything, that this Court could decide, ""an appellate"" -- and I'll quote here, ""an appellate court may conclude, as a matter of law, that the challenged use does not qualify as fair use once it has the factual record and resolves all factual -- subsidiary factual questions in favor of the fact-finder."" Now note there were numerous disputes in Harper, including how you weigh various factors, questions like the value of news reporting weighed against the original author's derivative work rights. I grant you that a lot of mixed questions are more factual. But the stability the judicial review provides is essential for fair use because it has constitutional implications.",1,1
2020_18-956,j__sonia_sotomayor,169,"Counsel, could you tell me why you think that Google's work was not transformative? It moved Java's platform from a PC, essentially, to mobile phones. Why wasn't that a transformative step? I mean, the -- the answer is that all -- that all fair use involves copying. So to do fair use you have to copy something and create something new from it. So why wasn't that a giant step of fair use?",Malcolm L. Stewart,"The only thing I would flesh out a little bit was the last point that I had gotten to towards the end, which is that there is this phenomenon of licensed copying. And sometimes, often, the license terms don't include the payment of money. They simply include a requirement, like whatever improvements to the code you make have to be given back to the programming community, have to be made known to other potential programmers. But the copyright holders' authority to impose and enforce those licenses obviously depends upon the proposition that the code is copyrightable to begin with. And so those licenses would be a pointless gesture otherwise. And the very fact that those licenses are offered with such frequency, I think tends to dispel the idea that there is a common understanding in the relevant community that this material is not copyrightable at all.",1,1
2020_18-956,j__sonia_sotomayor,171,"That's the only way to make -- I mean, what they copied in terms of the declaring code was only that that would function in the new environment, that needed to function in the new environment.",Malcolm L. Stewart,"I guess I'd say three or four things as to why this wasn't transformative. The first is when Google explains why it copied these particular declarations and not others within the Java platform, the explanation that it gives is -- is these are the declarations, these are the functionalities that will carry over to a smartphone platform. These are the declarations that will be useful in the new technological environment. So even though a lot of the code that Oracle had written might not be useful, this -- this code is. The second is when they talk about --",1,1
2020_18-956,j__sonia_sotomayor,209,"Mr. Goldstein, is this your answer to Mr. Malcolm's transformative use argument, and what's your best argument on fair use?",Thomas C. Goldstein,"Sure. So there's the difference between the fact that they have a copyrighted work, which ran from the point of publication, from whether merger applies. This is Baker versus Selden. Selden, when he published his book of dual column accounting, on that day he was the person who had created that. But the Court said what about a later user that wants to use this system, can they do it without part of the work? This Court said no, and that meant that there is no copyright protection within the copyrighted work for that particular piece of expression.",0,1
2020_18-956,j__sonia_sotomayor,211,"Thank you, counsel.",Thomas C. Goldstein,"Our answer with respect to transformative uses, it cannot be that transformative use only exists when computer code does something different. Computer code only does one thing. There is no parity of computer code. That would mean ironically that this highly and functional expression is less susceptible of fair use than a highly creative novel. That cannot be right. And, in any event, even if -- if the jury was entitled to conclude based on the record evidence that this was an entirely new context, the Java SE was not useable in this particular -- in a smartphone, with respect to fair use, more broadly, our best argument is about the standard of review. Under Rule 39(c) this mixed question of fact and law was put to the jury at Oracle's insistence. The question is could the jury have balanced these factors? I know that the other side is concerned about providing legal guidance. That's why we have jury instructions. But the Court in Georgia versus Public Resource and in other cases has made quite clear this is incredibly fact-bound. It will depend on the circumstances. And Mr. Stewart has only reinforced that point. In that context, you cannot say that the jury couldn't reasonably find that this massive creativity with a million applications and a new, entirely new way of computing on the smartphone is not fair use.",0,1
2020_19-108,j__sonia_sotomayor,27,"Mr. Wall, just to be clear, I -- I wasn't quite sure I understood your answer to Justice Thomas. The statute of limitations question is separate from the Coker question, isn't it? You could have a statute of limitations that is not fixed even if we were to decide that the Eighth Amendment applied to the military, correct?",Jeffrey B. Wall,"Justice Alito, I -- I think, in granting the case, the Court recognized that in all of these cases, the CAAF reversed convictions. The CAAF held in each case that, under Mangahas, the statute of limitations was five years and not unlimited. Now, to be sure, it only revisited that question in Daniels, it relied on Mangahas, and -- and Daniels had just relied on Collins, and Collins relied on Mangahas. So it is true that they didn't decide the question here. They relied on their earlier decision in Mangahas. But you grant that -- you grant those kinds of cases all the time, where some court relies on a rule that's announced in an -- in an earlier case. That's still part of the decision that you're reviewing in each case under 1259. They had to say that there was a five-year statute of limitations under Mangahas to -- to reverse the convictions. And then, obviously, Briggs additionally decided the retroactivity question, so that issue was also presented in Briggs. So I think it's clear that you've got jurisdiction over the issues in -- in all of the cases under 1259.",0,1
2020_19-108,j__sonia_sotomayor,29,"That's why I -- I thought I wasn't quite sure. You went straight into the Coker question, and I wasn't quite sure whether you meant to answer yes or no to him. Number two, it seems to me that almost any serious crime, including an assault that causes serious physical injury, could be -- could be an impediment to -- in combat situations and create great inter- -- great international disputes, for example, if one soldier attacks another in a combat zone. So I -- I don't know why or how you have justified the explanation why death is proportionate in that situation when life without parole -- why life without parole wouldn't be sufficient?",Jeffrey B. Wall,"We absolutely agree, Justice Sotomayor, those are two separate judgments. We think that Congress made both of them here. And even if it's not allowed to impose the death penalty under the Constitution, it still said it thought this was the kind of serious offense that should be prosecutable at any time. I took Justice Thomas to be saying: Could you win even if we accept that Coker applies in the military? I may have misunderstood the question. Our answer to that is yes, but I agree with you the Court doesn't need to get there if we're right on the statute.",0,1
2020_19-108,j__sonia_sotomayor,31,"Mr. Wall, but what do I make of the fact that it's been decades, decades, since the death penalty has been imposed or sought in a rape case in the military?",Jeffrey B. Wall,"Well, I take the point, Justice Sotomayor, and I think it's fair that all crimes in some sense can undermine unit cohesion and military discipline. But I think rape is especially different when you talk to the prosecutors, because it divides up platoons and units oftentimes in a way that other crimes do not. There are --",0,1
2020_19-108,j__sonia_sotomayor,33,It can't be --,Jeffrey B. Wall,"Well, I don't --",0,1
2020_19-108,j__sonia_sotomayor,36,Thank you.,Jeffrey B. Wall,"Justice Sotomayor, I don't -- you -- it's been decades since they've sought it for premeditated murder in the military, but I don't think anyone, even Respondents, would say that makes a difference to the constitutional analysis, that it's somehow off the table, the death penalty, for even premeditated murder in the military. It is true that they rarely impose it, but none of that matters to Congress's judgment that the offense is so serious that it should be prosecutable at any time. And just to finish my answer to your earlier question, it's not just the way it divides platoons. It's not just the pressures against reporting, which are true of rape and sexual assault and less true of other offenses. It's also the effect on foreign relations and national security. Yes, an attack inside a war zone on another soldier might, in theory, affect our foreign relations, but not nearly so much as the rape of a civilian child. And I go back to the Austrian example in the wake of World War II. I think, to prevail, they've got to say that even a rape like that isn't -- can't be punished with death under -- under the Eighth Amendment. And I can't see on what objective measure they would get there.",0,1
2020_19-108,j__sonia_sotomayor,125,I will pass. Thank you.,Stephen I. Vladeck,"So this Court -- I mean, I think we've had examples, Justice Alito, where the death penalty remains available, for example, for rape that results in death. We've had examples -- for example, Mr. Wall had a hypothetical about rape as a war crime. That is not what was charged here. The military has the separate capacity to charge war crimes under different articles of the UCMJ and, where the laws of war recognize the death penalty for that charge, to pursue the death penalty in that case. Justice Alito, we would not suggest that case was settled by Coker, but where, as here, there is no charge under those provisions, where it's simply under Article 120, which I should say Congress has not -- never sort of reenacted with the death penalty after 1950, before the Respondents' offenses, we think Coker, through Article 55, covers the case.",1,1
2020_19-71,j__sonia_sotomayor,24,"As I read the briefs on both sides, each of you rely on legislative history to some extent. And I know some of my colleagues don't believe in doing that. But assume -- humor me, please. You don't have to make a disclaimer about its use. One of the things that concerns me greatly is that RFRA was very concerned, at least Congress was, with the many families whose loved ones were being subjected to autopsies, in violation of their religious beliefs, and, in fact, there was a lot of testimony before Congress about the fact that injunctive relief would not help those families. So, if that was one of the concerns of this legislation, as is many other actions by government officials that might violate religious beliefs, why do you think Congress would have intended to preclude money damages against individual actions that violated religious belief?",Edwin S. Kneedler,"Well, qualified immunity is not automatic. And the -- and the -- what -- what Congress has determined, again, in the Westfall Act and -- and this Court's hesitation in recognizing new Bivens causes of action, there is qualified immunity as in -- under statutory causes of action, where they do exist, and under Bivens, where it does exist, and yet the Court has cut off the cause of action at the outset because the very prospect of being subject to suit and the protracted litigation that can ensue, even with qualified immunity, is thought to create the potential for chilling federal employees in their work.",0,1
2020_19-71,j__sonia_sotomayor,26,"Mr. Kneedler, isn't the overall thrust to give a cause of action a claim and a remedy? That's the stated purpose of the Act under the terms of the Act. Why would Congress take away from appropriate relief the only relief that could help some people for the --",Edwin S. Kneedler,"Several things. I -- I think the focus on the autopsy situation, for example, was primarily in the substantive rule and it -- I mean, it arose in the context of a -- of a damage action. But Congress was focused on not the individual situation but lifting burdens imposed by generally applicable rules. That is the -- that is the overall thrust of RFRA, as reflected in the text of RFRA.",0,1
2020_19-71,j__sonia_sotomayor,28,-- violation of their rights?,Edwin S. Kneedler,Well --,0,1
2020_19-71,j__sonia_sotomayor,30,By the way --,Edwin S. Kneedler,"-- I don't think it -- I don't think it's a matter of taking away. If there was some remedy available under some other scheme, under 1983 for a statute or if the -- if the Court might have come to recognizing a Bivens cause of action under the Constitution for a free exercise claim, those would -- those would be -- those would still be available. Now, of course, this Court has not done that under the Free Exercise Clause. The question is what Congress intended to do in RFRA itself. And with that, we have a textual answer where it refers to relief against -- against the government. And, again, equitable relief --",0,1
2020_19-71,j__sonia_sotomayor,32,"-- Mr. Kneedler, by the way, is it your argument that if a court orders injunctive relief against a private government contractor, that that relief runs against the United States Government itself?",Edwin S. Kneedler,-- is appropriate --,0,1
