case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
97-1192,j__brett_m_kavanaugh,121,"Thank you, Mr. Chief Justice, and may it please the Court:
In light of what petitioner has stated, let me state at the outset there can be no mistake about the pernicious consequences of petitioner's theory, taken to its logical extreme.
By permanently walling off a critical category of evidence from the criminal process, petitioners' theory will lead to extreme injustice.
Not our words, the words of Mueller & Kirkpatrick.
That will mean that innocent people--",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,123,--They are two commentators on the law of evidence.,james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,125,"That will mean that--
[Laughter]",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,127,"That will mean that innocent people will be wrongly convicted and guilty people will be wrongly exonerated, each of which implicates a substantial societal interest.
The case of State v. Macumber is exemplary of that point.",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,129,"If that's true that he's not pressing it to the logical extreme, that undercuts entirely his chilling effect argument, because the person consulting his attorney before death will not have the expectation of confidentiality on which their entire theory is premised.",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,131,"That's right, Justice Stevens, but the most likely issue about which a client might consult an attorney in which the communications might be sought after death are testamentary cases, and in that circumstance the law has long established... over a century in this Court... that the privilege does not survive death, notwithstanding, notwithstanding the embarrassment and the harm to reputation that can ensue from disclosure--",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,133,"--Well, in that--",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,135,"--Yes, Justice Scalia.",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,137,That's right.,james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
97-1192,j__brett_m_kavanaugh,139,"But most likely consultation, again, will be in the testamentary context, and there the law has long established that the privilege--",james_hamilton,"--Well, that is certainly true.
That is certainly true, and if I am consulted by a person who wants my legal advice, even though it involves issues concerning other people, that type of conversation, Justice Stevens, is privileged.
Now, if the situation is only, will you help me get a lawyer for my son, that would not necessarily be... I think that would not be privileged, but certainly you can consult about the legal issues of others.
You can consult with an attorney.
You can ask the attorney to advise you, and that certainly has happened in my own practice.
Mr. Chief Justice, I would like to reserve some time for rebuttal.",0.0,-1
