case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2020_19-199,j__amy_coney_barrett,65,"Good morning, Ms. Harris. So, in thinking about the 231g question and whether the denial of a motion to reopen determines rights or liabilities, I think, when you look at 261.2 and the regulations, if you're thinking about 261.2(b), you know, if a denial is essentially a conclusion that there was no new or material evidence of error, then I can see how that might qualify as a determination of a right or a liability. But what about in Mr. Salinas's case? I mean, is it fair to -- to characterize his motion here as a motion to reconsider the denial of his motion to reopen (b)(4)?",Sarah M. Harris,"Sure. I mean, I -- I obviously agree with the recount of the history, and I also think that your account of the government's position is spot on. The government's brief at pages 14 and 29, their position has never been that 231g's determining rights or liabilities language, if you untethered it from the RUIA, would exclude denials of reopening. Their position is those are just code words for decisions under 355(c). And that doesn't seem like a plausible view. And the government, as you know, has also agreed that the Railroad Retirement Board from its inception has always thought that reopening was something that the Board could and, indeed, should do in certain circumstances. And so I do think it would be extraordinary to think that when there's such a long history of the Board understanding its own powers to include reopening, and when there's language that is certainly at least capacious enough to plausibly include this type of decision, you would read in some sort of exclusion of review when there is no express bar in the statute saying there's no review of other decisions, which, again, distinguishes this case from Califano and the Social Security statute.",0.0,0
2020_19-199,j__amy_coney_barrett,67,"But it's new evidence that bears on his motion to reopen, not on the underlying determination of his entitlement to benefits, right?",Sarah M. Harris,"Yes, I think it would be absolutely fair, and, indeed, that is the provision the Board mentioned below when it's thinking about it. And that's at pages 7A to 8A of the petition appendix. And the reason is Mr. Salinas's claim is that he wanted to present and was not able to present important medical evidence in 2006 about his depression and anxiety that would have affected the -- the Board's understanding of whether it should find good cause to excuse his late filing in that 2000 -- 2006 claim. So that's really in the heartland of the kind of new evidence type claim to be looking for.",0.0,0
2020_19-199,j__amy_coney_barrett,69,"Let me expand it beyond Mr. Salinas's motion here, because what I'm getting at is, even if you could consider some grounds for not reopening a determination of rights or liabilities, I'm not sure that's true of all. So, for example, what if it's just flatly that somebody came forward beyond the four years permitted in 261.2(b) and they just said, sorry, it's late? That's not really -- it doesn't fit neatly into the definition determination of rights or liabilities.",Sarah M. Harris,"Well, I think it bears on both here. The -- the -- it bears on, first of all, why he was not allowed to pursue his 2006 claim, which was the Board said we're not going to excuse you for not proceeding further when he failed to file in a timely fashion to continue litigating it. And he said, I'm really sorry. I wasn't able to file within the 60-day period. I have pretty serious depression. And at that time, he wasn't able to get the new medical evidence that would have allowed him to present that argument to the Board and would have both constituted good cause and obviously borne on the underlying claim.",0.0,0
2020_19-199,j__amy_coney_barrett,71,Thank you. My time's expired.,Sarah M. Harris,"Well, I think, if you thought that a determination that raises new evidence in general is about your rights and liabilities because there's a denial of your benefits claim and you're being denied an opportunity to present that new evidence, the question would sort of be, is that regulation as applied in this circumstance arbitrary in cutting that off? And the other piece of it is the Board obviously has the discretion to say that, yes, you know, even though four years have passed, you presented new evidence and we're willing to consider that here. And the question is always going to be, was the Board acting reasonably in excusing that or not? So I think we kind of end up in the same place, which is maybe this all just underscores why denials of reopening that present new evidence have for so long in so many contexts been considered judicially reviewable.",0.0,0
2020_19-199,j__amy_coney_barrett,147,"Thank you. So, counsel, when the Chief Justice asked you if there would be a practical problem in having a different scope of review under the RRA and the RUIA, you said: Well, it would be conforming to our view of 355. So, in other words, if we interpret 355 the way you would like us to to cover review only of claims under 355(c), then it's the exact same for both. But what if we disagree with you? What if we say no, review under 355 is of any final decision, and so then there may be a different scope. What practical problems might arise then?",Austin L. Raynor,"I agree, Your Honor, that the Board has not traditionally interpreted 231g in isolation.",1.0,0
2020_19-199,j__amy_coney_barrett,149,"Have there been many cases in which courts -- I mean, I'm aware of one -- but have courts ever held that motions for reopening are reviewable as opposed to are not reviewable under the RUIA?",Austin L. Raynor,"Your Honor, I don't know that it would be a practical problem so much as sort of counterintuitive from the perspective of congressional intent. And in that world, for example, a claimant could obtain judicial review of reopening under the RUIA but wouldn't be able to obtain judicial review of reopening under the RRA. And that's an anomaly that might be surprising to think that Congress intended that, but it probably wouldn't be a practical problem per se.",1.0,0
2020_19-199,j__amy_coney_barrett,151,Or was all -- was all the action in the RRA context?,Austin L. Raynor,Under the R --,1.0,0
2020_19-199,j__amy_coney_barrett,153,"Is the reason why the government would prefer for us to decide this under 355 is that it then takes care of narrowing -- making sure that the scope is the same and the narrow one that you proposed for purposes of both the RUIA and the RRA, as opposed to using 231g, which narrows only RRA claims?",Austin L. Raynor,"Your Honor, most of these cases arise in the RRA context. There's a far greater number of beneficiaries. I don't know the precise number of cases that pertain to the RUIA specifically. And, of course, under the government's approach, there's really no difference in the analysis under either statute.",1.0,0
2020_19-199,j__amy_coney_barrett,155,Thank you.,Austin L. Raynor,"Certainly, we would agree that interpreting the statutes in harmony and creating symmetry between the two provisions is the most plausible understanding of congressional intent. Again, as a practical matter, the RRA, there's a far greater number of beneficiaries under the RRA.",1.0,0
2020_19-123,j__amy_coney_barrett,92,"Good morning, Ms. Windham. So you just kind of indicated that -- you know, that maybe Smith shouldn't have been applied here, and you argue in your brief that Smith should be overruled. But you also say that you win even under Smith because this policy is neither generally applicable nor neutral. So, if you're right about that, why should we even entertain the question whether to overrule Smith?",Lori H. Windham,"That's all correct, Justice Kavanaugh. And that demonstrates, first, that CSS is not going to prevent any same-sex couple from being able to foster in Philadelphia. There are many other agencies out there. They're merely asking to be able to step aside and recuse if that situation ever to -- were ever to arise. It also demonstrates the City doesn't have a compelling interest here. This is a system that has worked effectively and worked well for many years. This is an unnecessary conflict. The City of Philadelphia had an easy option here, which is to allow Catholic Social Services to continue the great work that it's been doing. Unfortunately, because the courts below decided to apply Employment Division v. Smith, the City thinks that it's under no obligation to consider, respect, and accommodate religious exercise, which demonstrates how far off the rails our free exercise jurisprudence has gone in this case.",0.0,1
